Dependency=Electric Vehicle Ownership	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Option=Level 1 charger	Option=Level 2 charger	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
No	0-100%	Mobile Home	Not Available	0	0	0	1	346	2.20901e+06	346	2.20901e+06
No	0-100%	Mobile Home	Owner	0	0	1	0	241	1.49238e+06	241	1.49238e+06
No	0-100%	Mobile Home	Renter	0	0	1	0	105	716623	105	716623
No	100-150%	Mobile Home	Not Available	0	0	0	1	287	1.3023e+06	287	1.3023e+06
No	100-150%	Mobile Home	Owner	0	0	1	0	226	1.05405e+06	226	1.05405e+06
No	100-150%	Mobile Home	Renter	0	0	1	0	61	248246	61	248246
No	150-200%	Mobile Home	Not Available	0	0	0	1	201	870935	201	870935
No	150-200%	Mobile Home	Owner	0	0	1	0	157	702694	157	702694
No	150-200%	Mobile Home	Renter	0	0	1	0	44	168242	44	168242
No	200-300%	Mobile Home	Not Available	0	0	0	1	269	1.14611e+06	269	1.14611e+06
No	200-300%	Mobile Home	Owner	0	0	1	0	229	954401	229	954401
No	200-300%	Mobile Home	Renter	0	0	1	0	40	191711	40	191711
No	300-400%	Mobile Home	Not Available	0	0	0	1	130	592755	130	592755
No	300-400%	Mobile Home	Owner	0	0	1	0	115	538172	115	538172
No	300-400%	Mobile Home	Renter	0	0	1	0	15	54582.4	15	54582.4
No	400%+	Mobile Home	Not Available	0	0	0	1	146	668823	146	668823
No	400%+	Mobile Home	Owner	0	0	1	0	132	606934	132	606934
No	400%+	Mobile Home	Renter	0	0	1	0	14	61888.7	14	61888.7
No	Not Available	Mobile Home	Not Available	0	0	1	0	967	6.78993e+06	967	6.78993e+06
No	Not Available	Mobile Home	Owner	0	0	0	1	760	5.34864e+06	760	5.34864e+06
No	Not Available	Mobile Home	Renter	0	0	0	1	207	1.44129e+06	207	1.44129e+06
No	0-100%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	321	2.86152e+06	321	2.86152e+06
No	0-100%	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	15	156347	15	156347
No	0-100%	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	306	2.70518e+06	306	2.70518e+06
No	100-150%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	195	1.03184e+06	195	1.03184e+06
No	100-150%	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	17	123676	17	123676
No	100-150%	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	178	908161	178	908161
No	150-200%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	171	1.03685e+06	171	1.03685e+06
No	150-200%	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	16	84775.9	16	84775.9
No	150-200%	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	155	952075	155	952075
No	200-300%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	267	1.46726e+06	267	1.46726e+06
No	200-300%	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	34	213620	34	213620
No	200-300%	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	233	1.25365e+06	233	1.25365e+06
No	300-400%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	171	955188	171	955188
No	300-400%	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	27	134424	27	134424
No	300-400%	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	144	820764	144	820764
No	400%+	Multi-Family with 2 - 4 Units	Not Available	0	0	0	1	268	1.94066e+06	268	1.94066e+06
No	400%+	Multi-Family with 2 - 4 Units	Owner	0	0	1	0	55	405015	55	405015
No	400%+	Multi-Family with 2 - 4 Units	Renter	0	0	1	0	213	1.53564e+06	213	1.53564e+06
No	Not Available	Multi-Family with 2 - 4 Units	Not Available	0	0	1	0	1008	9.29332e+06	1008	9.29332e+06
No	Not Available	Multi-Family with 2 - 4 Units	Owner	0	0	0	1	121	1.11786e+06	121	1.11786e+06
No	Not Available	Multi-Family with 2 - 4 Units	Renter	0	0	0	1	887	8.17546e+06	887	8.17546e+06
No	0-100%	Multi-Family with 5+ Units	Not Available	0	0	0	1	501	4.53408e+06	501	4.53408e+06
No	0-100%	Multi-Family with 5+ Units	Owner	0	0	1	0	21	181433	21	181433
No	0-100%	Multi-Family with 5+ Units	Renter	0	0	1	0	480	4.35265e+06	480	4.35265e+06
No	100-150%	Multi-Family with 5+ Units	Not Available	0	0	0	1	395	2.19179e+06	395	2.19179e+06
No	100-150%	Multi-Family with 5+ Units	Owner	0	0	1	0	23	141300	23	141300
No	100-150%	Multi-Family with 5+ Units	Renter	0	0	1	0	372	2.05049e+06	372	2.05049e+06
No	150-200%	Multi-Family with 5+ Units	Not Available	0	0	0	1	349	2.15615e+06	349	2.15615e+06
No	150-200%	Multi-Family with 5+ Units	Owner	0	0	1	0	25	168885	25	168885
No	150-200%	Multi-Family with 5+ Units	Renter	0	0	1	0	324	1.98726e+06	324	1.98726e+06
No	200-300%	Multi-Family with 5+ Units	Not Available	0	0	0	1	576	3.30952e+06	576	3.30952e+06
No	200-300%	Multi-Family with 5+ Units	Owner	0	0	1	0	72	390096	72	390096
No	200-300%	Multi-Family with 5+ Units	Renter	0	0	1	0	504	2.91942e+06	504	2.91942e+06
No	300-400%	Multi-Family with 5+ Units	Not Available	0	0	0	1	375	2.54106e+06	375	2.54106e+06
No	300-400%	Multi-Family with 5+ Units	Owner	0	0	1	0	56	386775	56	386775
No	300-400%	Multi-Family with 5+ Units	Renter	0	0	1	0	319	2.15428e+06	319	2.15428e+06
No	400%+	Multi-Family with 5+ Units	Not Available	0	0	0	1	1032	7.93723e+06	1032	7.93723e+06
No	400%+	Multi-Family with 5+ Units	Owner	0	0	1	0	219	1.87346e+06	219	1.87346e+06
No	400%+	Multi-Family with 5+ Units	Renter	0	0	1	0	813	6.06377e+06	813	6.06377e+06
No	Not Available	Multi-Family with 5+ Units	Not Available	0	0	1	0	2421	2.26698e+07	2421	2.26698e+07
No	Not Available	Multi-Family with 5+ Units	Owner	0	0	0	1	334	3.14194e+06	334	3.14194e+06
No	Not Available	Multi-Family with 5+ Units	Renter	0	0	0	1	2087	1.95279e+07	2087	1.95279e+07
No	0-100%	Single-Family Attached	Not Available	0	0	0	1	222	931639	222	931639
No	0-100%	Single-Family Attached	Owner	0	0	1	0	53	230570	53	230570
No	0-100%	Single-Family Attached	Renter	0	0	1	0	169	701069	169	701069
No	100-150%	Single-Family Attached	Not Available	0	0	0	1	204	628410	204	628410
No	100-150%	Single-Family Attached	Owner	0	0	1	0	97	292182	97	292182
No	100-150%	Single-Family Attached	Renter	0	0	1	0	107	336228	107	336228
No	150-200%	Single-Family Attached	Not Available	0	0	0	1	218	534286	218	534286
No	150-200%	Single-Family Attached	Owner	0	0	1	0	116	265329	116	265329
No	150-200%	Single-Family Attached	Renter	0	0	1	0	102	268956	102	268956
No	200-300%	Single-Family Attached	Not Available	0	0	0	1	431	1.13777e+06	431	1.13777e+06
No	200-300%	Single-Family Attached	Owner	0	0	1	0	269	673960	269	673960
No	200-300%	Single-Family Attached	Renter	0	0	1	0	162	463814	162	463814
No	300-400%	Single-Family Attached	Not Available	0	0	0	1	354	951043	354	951043
No	300-400%	Single-Family Attached	Owner	0	0	1	0	227	596895	227	596895
No	300-400%	Single-Family Attached	Renter	0	0	1	0	127	354148	127	354148
No	400%+	Single-Family Attached	Not Available	0	0	0	1	887	3.16178e+06	887	3.16178e+06
No	400%+	Single-Family Attached	Owner	0	0	1	0	681	2.49305e+06	681	2.49305e+06
No	400%+	Single-Family Attached	Renter	0	0	1	0	206	668734	206	668734
No	Not Available	Single-Family Attached	Not Available	0	0	1	0	1723	7.34494e+06	1723	7.34494e+06
No	Not Available	Single-Family Attached	Owner	0	0	0	1	1095	4.55199e+06	1095	4.55199e+06
No	Not Available	Single-Family Attached	Renter	0	0	0	1	628	2.79295e+06	628	2.79295e+06
No	0-100%	Single-Family Detached	Not Available	0	0	0	1	910	5.74444e+06	910	5.74444e+06
No	0-100%	Single-Family Detached	Owner	0	0	1	0	628	3.83424e+06	628	3.83424e+06
No	0-100%	Single-Family Detached	Renter	0	0	1	0	282	1.9102e+06	282	1.9102e+06
No	100-150%	Single-Family Detached	Not Available	0	0	0	1	1135	5.0864e+06	1135	5.0864e+06
No	100-150%	Single-Family Detached	Owner	0	0	1	0	920	4.03366e+06	920	4.03366e+06
No	100-150%	Single-Family Detached	Renter	0	0	1	0	215	1.05273e+06	215	1.05273e+06
No	150-200%	Single-Family Detached	Not Available	0	0	0	1	1417	5.80887e+06	1417	5.80887e+06
No	150-200%	Single-Family Detached	Owner	0	0	1	0	1194	4.90686e+06	1194	4.90686e+06
No	150-200%	Single-Family Detached	Renter	0	0	1	0	223	902014	223	902014
No	200-300%	Single-Family Detached	Not Available	0	0	0	1	3180	1.21266e+07	3180	1.21266e+07
No	200-300%	Single-Family Detached	Owner	0	0	1	0	2823	1.05276e+07	2823	1.05276e+07
No	200-300%	Single-Family Detached	Renter	0	0	1	0	357	1.599e+06	357	1.599e+06
No	300-400%	Single-Family Detached	Not Available	0	0	0	1	2959	1.06519e+07	2959	1.06519e+07
No	300-400%	Single-Family Detached	Owner	0	0	1	0	2730	9.74537e+06	2730	9.74537e+06
No	300-400%	Single-Family Detached	Renter	0	0	1	0	229	906497	229	906497
No	400%+	Single-Family Detached	Not Available	0	0	0	1	6950	3.61906e+07	6950	3.61906e+07
No	400%+	Single-Family Detached	Owner	0	0	1	0	6571	3.414e+07	6571	3.414e+07
No	400%+	Single-Family Detached	Renter	0	0	1	0	379	2.05057e+06	379	2.05057e+06
No	Not Available	Single-Family Detached	Not Available	0	0	1	0	12091	7.56087e+07	12091	7.56087e+07
No	Not Available	Single-Family Detached	Owner	0	0	0	1	10887	6.71877e+07	10887	6.71877e+07
No	Not Available	Single-Family Detached	Renter	0	0	0	1	1204	8.42101e+06	1204	8.42101e+06
Yes	0-100%	Mobile Home	Not Available	0	0	0	1	1	4919.92	15	95844.8
Yes	0-100%	Mobile Home	Owner	0.901144	0.0988564	0	0	1	4919.92	13	43667.5
Yes	0-100%	Mobile Home	Renter	0.911961	0.088039	0	0	0	0	22	113212
Yes	100-150%	Mobile Home	Not Available	0	0	0	1	2	8643.65	15	95844.8
Yes	100-150%	Mobile Home	Owner	0.901144	0.0988564	0	0	1	17.7828	13	43667.5
Yes	100-150%	Mobile Home	Renter	0.911961	0.088039	0	0	1	8625.86	22	113212
Yes	150-200%	Mobile Home	Not Available	0	0	0	1	1	1324.25	15	95844.8
Yes	150-200%	Mobile Home	Owner	0.901144	0.0988564	0	0	0	0	13	43667.5
Yes	150-200%	Mobile Home	Renter	0.911961	0.088039	0	0	1	1324.25	22	113212
Yes	200-300%	Mobile Home	Not Available	0	0	0	1	1	2928.27	15	36871.7
