Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	fallback_count	fallback_weight
1A	0-100%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	108	694155
1A	0-100%	Mobile Home	Owner	1940-59	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	0	0	70	420175
1A	0-100%	Mobile Home	Renter	1940-59	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	0	0	38	273980
1A	100-150%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	108	694155
1A	100-150%	Mobile Home	Owner	1940-59	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	0	0	70	420175
1A	100-150%	Mobile Home	Renter	1940-59	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	0	0	38	273980
1A	150-200%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	108	694155
1A	150-200%	Mobile Home	Owner	1940-59	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	0	0	70	420175
1A	150-200%	Mobile Home	Renter	1940-59	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	0	0	38	273980
1A	200-300%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	94	563992
1A	200-300%	Mobile Home	Owner	1940-59	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	0	0	82	475814
1A	200-300%	Mobile Home	Renter	1940-59	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	0	0	12	88177.6
1A	300-400%	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	94	563992
1A	300-400%	Mobile Home	Owner	1940-59	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	0	0	82	475814
1A	300-400%	Mobile Home	Renter	1940-59	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	0	0	12	88177.6
1A	400%+	Mobile Home	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	89	568504
1A	400%+	Mobile Home	Owner	1940-59	0.242332	0.0111534	0.117812	0.0108446	0.117812	0.196146	0.00902762	0.210051	0.00966763	0.0751538	0	0	0	79	521868
1A	400%+	Mobile Home	Renter	1940-59	0.160939	0.00740722	0.202809	0.0186686	0.202809	0.0513711	0.00236436	0.338072	0.0155598	0	0	0	0	10	46635.5
1A	Not Available	Mobile Home	Not Available	1940-59	0.164773	0.00758369	0.0970226	0.00893095	0.0970226	0.230509	0.0106092	0.343098	0.0157911	0.02466	0	0	0	217	1.82665e+06
1A	Not Available	Mobile Home	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	169	1.41786e+06
1A	Not Available	Mobile Home	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	0	0	48	408794
1A	0-100%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	179	1.00913e+06
1A	0-100%	Mobile Home	Owner	1960-79	0.137102	0.00631015	0.0641228	0.00590251	0.0641228	0.449522	0.0206893	0.224337	0.0103251	0.0175652	0	0	0	132	737285
1A	0-100%	Mobile Home	Renter	1960-79	0.164549	0.00757336	0.0446319	0.00410838	0.0446319	0.416489	0.0191689	0.248534	0.0114388	0.0388758	0	0	0	47	271849
1A	100-150%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	179	1.00913e+06
1A	100-150%	Mobile Home	Owner	1960-79	0.137102	0.00631015	0.0641228	0.00590251	0.0641228	0.449522	0.0206893	0.224337	0.0103251	0.0175652	0	0	0	132	737285
1A	100-150%	Mobile Home	Renter	1960-79	0.164549	0.00757336	0.0446319	0.00410838	0.0446319	0.416489	0.0191689	0.248534	0.0114388	0.0388758	0	0	0	47	271849
1A	150-200%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	179	1.00913e+06
1A	150-200%	Mobile Home	Owner	1960-79	0.137102	0.00631015	0.0641228	0.00590251	0.0641228	0.449522	0.0206893	0.224337	0.0103251	0.0175652	0	0	0	132	737285
1A	150-200%	Mobile Home	Renter	1960-79	0.164549	0.00757336	0.0446319	0.00410838	0.0446319	0.416489	0.0191689	0.248534	0.0114388	0.0388758	0	0	0	47	271849
1A	200-300%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	241	1.1092e+06
1A	200-300%	Mobile Home	Owner	1960-79	0.276351	0.0127191	0.118118	0.0108728	0.118118	0.270597	0.0124543	0.162886	0.00749685	0.0103874	0	0	0	193	901194
1A	200-300%	Mobile Home	Renter	1960-79	0.211063	0.00971419	0.0104915	0.000965746	0.0104915	0.284443	0.0130915	0.439511	0.0202286	0	0	0	0	48	208005
1A	300-400%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	241	1.1092e+06
1A	300-400%	Mobile Home	Owner	1960-79	0.276351	0.0127191	0.118118	0.0108728	0.118118	0.270597	0.0124543	0.162886	0.00749685	0.0103874	0	0	0	193	901194
1A	300-400%	Mobile Home	Renter	1960-79	0.211063	0.00971419	0.0104915	0.000965746	0.0104915	0.284443	0.0130915	0.439511	0.0202286	0	0	0	0	48	208005
1A	400%+	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	188	1.08281e+06
1A	400%+	Mobile Home	Owner	1960-79	0.199256	0.00917076	0.13474	0.0124028	0.13474	0.319142	0.0146885	0.13907	0.00640071	0.0303898	0	0	0	161	941735
1A	400%+	Mobile Home	Renter	1960-79	0.0340002	0.00156486	0.115455	0.0106277	0.115455	0.467822	0.0215315	0.125693	0.00578504	0.102066	0	0	0	27	141072
1A	Not Available	Mobile Home	Not Available	1960-79	0.197182	0.00907531	0.0972203	0.00894915	0.0972203	0.348069	0.0160199	0.193642	0.0089124	0.0237096	0	0	0	437	3.20114e+06
1A	Not Available	Mobile Home	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	353	2.58021e+06
1A	Not Available	Mobile Home	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	0	0	84	620926
1A	0-100%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	222	1.40853e+06
1A	0-100%	Mobile Home	Owner	1980-99	0.184895	0.00850981	0.0719493	0.00620197	0.0628025	0.477607	0.0219819	0.133386	0.00613912	0.0265271	0	0	0	167	1.08995e+06
1A	0-100%	Mobile Home	Renter	1980-99	0.121312	0.00558341	0.0190121	0.00150636	0.0137169	0.542929	0.0249884	0.247614	0.0113965	0.0119411	0	0	0	55	318582
1A	100-150%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	0	0	222	1.40853e+06
