Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	fallback_count	fallback_weight
1 day	0-100%	Mobile Home	0.41118	0	0.0733747	0	0.0733747	0	0.416919	0.0251518	9	37807.2	19	89206.2
1 month	0-100%	Mobile Home	0.0988761	0.478905	0.0115653	0.0752685	0.0408943	0.0802219	0.214269	0	18	53982.2	18	53982.2
1 week	0-100%	Mobile Home	0.0369442	0.000392513	0.0905708	0.0302909	0.0706067	0	0.771195	0	14	54395.6	14	54395.6
2 weeks	0-100%	Mobile Home	0.0539354	0.133794	0.164741	0.0179958	0.167074	0	0.46246	0	11	55322.2	11	55322.2
3 days	0-100%	Mobile Home	0.26094	0.000105517	0.121061	0.0163115	0.268893	0	0.299424	0.0332651	15	67449	15	67449
3 months	0-100%	Mobile Home	0.0185219	0.168528	0.0054055	0.106078	0	0.145999	0.52724	0.0282268	14	38303.3	14	38303.3
Never	0-100%	Mobile Home	0.00394404	0.00231108	0.0255875	0.00599427	0.0281068	0.0192179	0.914149	0.00068904	295	1.90142e+06	295	1.90142e+06
Year round	0-100%	Mobile Home	0.0247579	0.0163479	0.0283529	0.0153458	0.0351002	0.0200659	0.854735	0.0052945	5	5245.48	838	4.39713e+06
1 day	100-150%	Mobile Home	0.367435	0	0.127346	0	0.127346	0	0.377873	0	8	48470.2	10	51399
1 month	100-150%	Mobile Home	0	0.151453	0.00164887	0.324376	0.000141684	0	0.52238	0	12	21773.4	12	21773.4
1 week	100-150%	Mobile Home	0	0.00055973	0.28688	0.00839595	0.189968	0	0.514196	0	9	39506.4	15	55887
2 weeks	100-150%	Mobile Home	0	0.129681	0.147246	0.312613	0.0352173	0	0.375244	0	8	32442.9	15	47619.2
3 days	100-150%	Mobile Home	0	0.00024246	0.219027	0.0036369	0.241947	0	0.535147	0	11	43006	11	43006
3 months	100-150%	Mobile Home	0	0.012765	0	0.0459397	0	0.200758	0.642872	0.0976658	10	34259.2	10	34259.2
Never	100-150%	Mobile Home	0.0139827	0.00429215	0.000793825	0.00609969	0.0223322	0.0270157	0.914237	0.0112471	248	1.08803e+06	248	1.08803e+06
Year round	100-150%	Mobile Home	0.0247579	0.0163479	0.0283529	0.0153458	0.0351002	0.0200659	0.854735	0.0052945	2	3452.4	838	4.39713e+06
1 day	150-200%	Mobile Home	0.367435	0	0.127346	0	0.127346	0	0.377873	0	2	2928.79	10	51399
1 month	150-200%	Mobile Home	0	0.256118	0.0375017	0.386989	0	0	0.319392	0	10	27127.1	10	27127.1
1 week	150-200%	Mobile Home	0	0.00055973	0.28688	0.00839595	0.189968	0	0.514196	0	6	16380.7	15	55887
2 weeks	150-200%	Mobile Home	0	0.129681	0.147246	0.312613	0.0352173	0	0.375244	0	7	15176.2	15	47619.2
3 days	150-200%	Mobile Home	0	0.000183441	0.184714	0.00275162	0.202055	0	0.610295	0	5	13836.3	16	56842.3
3 months	150-200%	Mobile Home	0	0.125337	0	0.038795	0	0.169535	0.583857	0.0824764	3	6309.39	13	40568.6
Never	150-200%	Mobile Home	0.026351	0.00124174	0.0138834	0.00370232	0.0162475	0.00237849	0.936195	0	180	790501	180	790501
Year round	150-200%	Mobile Home	0.0247579	0.0163479	0.0283529	0.0153458	0.0351002	0.0200659	0.854735	0.0052945	0	0	838	4.39713e+06
1 day	200-300%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	0	0	400	1.74179e+06
1 month	200-300%	Mobile Home	0	0.000117996	0.0163929	0.469595	0	0.000924706	0.512353	0.000616471	8	22951.6	12	42610
1 week	200-300%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	5	12072.7	16	39392.5
2 weeks	200-300%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	4	5251.42	16	39392.5
3 days	200-300%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	3	10024.5	400	1.74179e+06
3 months	200-300%	Mobile Home	0	7.74556e-05	0.0215215	0.335156	0	0.000607001	0.642233	0.000404667	4	17225.3	18	64912.1
Never	200-300%	Mobile Home	0.0114024	0	0.00159831	4.77268e-06	0.0254679	0.00459613	0.95693	0	253	1.08139e+06	253	1.08139e+06
Year round	200-300%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	1	122.547	400	1.74179e+06
1 day	300-400%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	0	0	400	1.74179e+06
1 month	300-400%	Mobile Home	0	0.000117996	0.0163929	0.469595	0	0.000924706	0.512353	0.000616471	4	19658.4	12	42610
1 week	300-400%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	3	14535.6	16	39392.5
2 weeks	300-400%	Mobile Home	0	0	0.202744	0	7.76672e-05	0.0150035	0.772173	0.0100023	4	7532.87	16	39392.5
3 days	300-400%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	2	9940.81	400	1.74179e+06
3 months	300-400%	Mobile Home	0	7.74556e-05	0.0215215	0.335156	0	0.000607001	0.642233	0.000404667	2	5076.88	18	64912.1
Never	300-400%	Mobile Home	0.00825566	0	0.000490476	0	0.0148607	0	0.976393	0	119	531568	119	531568
Year round	300-400%	Mobile Home	0.00959869	2.88657e-06	0.00652989	0.0124934	0.0203493	0.00321545	0.947569	0.000241294	2	4441.61	400	1.74179e+06
1 day	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	0	0	150	693577
1 month	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	3	5129.29	150	693577
1 week	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	4	4273.29	150	693577
2 weeks	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	4	16182.8	150	693577
3 days	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	3	9387.68	150	693577
3 months	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	1	1827.04	150	693577
Never	400%+	Mobile Home	0.00172403	0	0.0148334	0.00755518	0.0142796	0.0162219	0.9434	0.00198635	139	654297	139	654297
Year round	400%+	Mobile Home	0.00162639	0.0128729	0.0139934	0.00712731	0.0230462	0.0153032	0.924157	0.00187386	1	2479.27	150	693577
1 day	Not Available	Mobile Home	0.41118	0	0.0733747	0	0.0733747	0	0.416919	0.0251518	14	89206.2	14	89206.2
1 month	Not Available	Mobile Home	0.0354367	0.239691	0.0157748	0.276409	0.0146768	0.0290127	0.388824	0.000174396	39	150622	39	150622
1 week	Not Available	Mobile Home	0.0142359	0.0184436	0.205053	0.0149961	0.102431	0	0.64484	0	29	141164	29	141164
2 weeks	Not Available	Mobile Home	0.0226204	0.151275	0.122248	0.120401	0.0827907	0.00448058	0.493197	0.00298705	27	131908	27	131908
3 days	Not Available	Mobile Home	0.114551	0.000114187	0.121489	0.00817866	0.236026	0	0.505038	0.0146032	29	153644	29	153644
3 months	Not Available	Mobile Home	0.0068878	0.112037	0.00879168	0.0716815	0	0.121067	0.636554	0.0429814	25	103001	25	103001
Never	Not Available	Mobile Home	0.0101518	0.00166125	0.0119371	0.00428453	0.0223852	0.0137914	0.933334	0.00245519	865	6.04721e+06	865	6.04721e+06
Year round	Not Available	Mobile Home	0.0185453	0.0118284	0.021332	0.0137843	0.0301162	0.0152868	0.885448	0.00365906	7	15741.3	974	6.8325e+06
1 day	0-100%	Multi-Family with 2 - 4 Units	0.236494	0.0768778	0.0104188	0	0.206054	0.045701	0.424454	0	9	43665.9	11	59296.9
1 month	0-100%	Multi-Family with 2 - 4 Units	0	0.0140145	0.0951297	0.00191951	0	0	0.888936	0	10	63348.1	10	63348.1
1 week	0-100%	Multi-Family with 2 - 4 Units	0.189402	0	0.127119	0	0.186172	0	0.497306	0	12	71963.9	12	71963.9
2 weeks	0-100%	Multi-Family with 2 - 4 Units	0.0321557	0.0772523	0	0	0.126845	0.0154505	0.748296	0	6	47838.5	14	61113
3 days	0-100%	Multi-Family with 2 - 4 Units	0.189979	0	0.0587357	0	0.316237	0	0.435048	0	13	73242.4	13	73242.4
3 months	0-100%	Multi-Family with 2 - 4 Units	0	0.0177771	0.0402233	0.00243485	0	0	0.719481	0.220084	10	49940.2	10	49940.2
Never	0-100%	Multi-Family with 2 - 4 Units	0.00576988	0.0025385	0.00882238	0.00343885	0.0152012	0.00100448	0.963225	0	284	2.49027e+06	284	2.49027e+06
Year round	0-100%	Multi-Family with 2 - 4 Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	3	30059.6	1942	1.38913e+07
1 day	100-150%	Multi-Family with 2 - 4 Units	0.236494	0.0768778	0.0104188	0	0.206054	0.045701	0.424454	0	0	0	11	59296.9
1 month	100-150%	Multi-Family with 2 - 4 Units	0	0.0145973	0.0614011	0.0364121	0	0.000641372	0.886948	0	4	27473.8	15	98146.2
1 week	100-150%	Multi-Family with 2 - 4 Units	0	0	0.421503	0	0.310172	0	0.268326	0	7	13865.6	10	16730
2 weeks	100-150%	Multi-Family with 2 - 4 Units	0.0321557	0.0772523	0	0	0.126845	0.0154505	0.748296	0	6	12262.2	14	61113
3 days	100-150%	Multi-Family with 2 - 4 Units	0.138849	0	0.0701447	0	0.312777	0	0.47823	0	2	5931.92	18	100214
3 months	100-150%	Multi-Family with 2 - 4 Units	0	0.0176647	0.0317409	0.0564691	0	0	0.720453	0.173672	4	8809.57	16	63286.2
Never	100-150%	Multi-Family with 2 - 4 Units	0.0189846	0	0.000555808	0	0.0147108	0.0120804	0.951919	0.00174892	181	963117	181	963117
Year round	100-150%	Multi-Family with 2 - 4 Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1	376.854	1942	1.38913e+07
1 day	150-200%	Multi-Family with 2 - 4 Units	0.236494	0.0768778	0.0104188	0	0.206054	0.045701	0.424454	0	2	15631	11	59296.9
1 month	150-200%	Multi-Family with 2 - 4 Units	0	0.0145973	0.0614011	0.0364121	0	0.000641372	0.886948	0	1	7324.37	15	98146.2
1 week	150-200%	Multi-Family with 2 - 4 Units	0	0	0.421503	0	0.310172	0	0.268326	0	3	2864.36	10	16730
2 weeks	150-200%	Multi-Family with 2 - 4 Units	0.0321557	0.0772523	0	0	0.126845	0.0154505	0.748296	0	2	1012.27	14	61113
3 days	150-200%	Multi-Family with 2 - 4 Units	0.138849	0	0.0701447	0	0.312777	0	0.47823	0	3	21039.4	18	100214
3 months	150-200%	Multi-Family with 2 - 4 Units	0	0.0176647	0.0317409	0.0564691	0	0	0.720453	0.173672	2	4536.4	16	63286.2
Never	150-200%	Multi-Family with 2 - 4 Units	0.00689561	0.00730648	0.00494692	0.00303981	0.0114985	0.00564546	0.947001	0.0136663	163	984324	163	984324
Year round	150-200%	Multi-Family with 2 - 4 Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1	119.211	1942	1.38913e+07
1 day	200-300%	Multi-Family with 2 - 4 Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	2	2119.31	11	44885.8
1 month	200-300%	Multi-Family with 2 - 4 Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	4	12338.1	13	64118.5
1 week	200-300%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	1	2.80181	12	43928.6
2 weeks	200-300%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	1	4076.76	12	43928.6
3 days	200-300%	Multi-Family with 2 - 4 Units	7.35597e-05	0	4.22335e-05	0	0.00020026	0	0.999684	0	4	2947.7	17	49755.6
3 months	200-300%	Multi-Family with 2 - 4 Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	3	12005	21	100487
Never	200-300%	Multi-Family with 2 - 4 Units	0.0059684	0.00420664	0.0101234	0.00222214	0.0101224	4.32144e-06	0.967353	0	258	1.44994e+06	258	1.44994e+06
Year round	200-300%	Multi-Family with 2 - 4 Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	1	2521.27	1397	8.31687e+06
1 day	300-400%	Multi-Family with 2 - 4 Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	2	12119.7	11	44885.8
1 month	300-400%	Multi-Family with 2 - 4 Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	1	9023.6	13	64118.5
1 week	300-400%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	1	3598.45	12	43928.6
2 weeks	300-400%	Multi-Family with 2 - 4 Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	1	2698.84	12	43928.6
3 days	300-400%	Multi-Family with 2 - 4 Units	7.35597e-05	0	4.22335e-05	0	0.00020026	0	0.999684	0	2	6816.26	17	49755.6
