Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Dependency=HVAC Heating Type	Dependency=Tenure	Option=55F	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	fallback_count	fallback_weight
1A	Mobile Home	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	1	16405.8	37	370809
1A	Mobile Home	No	Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	1	16405.8	30	337098
1A	Mobile Home	No	Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Mobile Home	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	370809
1A	Mobile Home	No	Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	30	337098
1A	Mobile Home	No	Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Mobile Home	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	370809
1A	Mobile Home	No	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	30	337098
1A	Mobile Home	No	Non-Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Mobile Home	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	37	370809
1A	Mobile Home	No	Non-Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	30	337098
1A	Mobile Home	No	Non-Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	0	0	141	1.27588e+06
1A	Mobile Home	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Mobile Home	No	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0	0
1A	Mobile Home	No	None	Renter	0	0.00516521	0.00403177	0.0189362	0.00790273	0.0327679	0.14425	0.152036	0.368718	0.118103	0.137705	0.0103855	0	0	0	0
1A	Mobile Home	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Mobile Home	Yes	Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Mobile Home	Yes	Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
1A	Mobile Home	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	922137
1A	Mobile Home	Yes	Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	0	0	75	699024
1A	Mobile Home	Yes	Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	0	0	25	223114
