Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	Electricity	AK	0.88117	0	0.0556567	0	0.0631733	0	0	0	0	14	9428.74
Multi-Family with 2 - 4 Units	Electricity	AK	0.928086	0	0.0353035	0	0	0.0366107	0	7	7307.22	21	23178.2
Multi-Family with 5+ Units	Electricity	AK	0.894976	0	0.0515577	0	0	0.0534667	0	14	15871	14	15871
Single-Family Attached	Electricity	AK	0.88117	0	0.0556567	0	0.0631733	0	0	9	5217.66	14	9428.74
Single-Family Detached	Electricity	AK	0.88117	0	0.0556567	0	0.0631733	0	0	5	4211.08	14	9428.74
Mobile Home	Electricity	AL	1	0	0	0	0	0	0	27	201882	27	201882
Multi-Family with 2 - 4 Units	Electricity	AL	0.762077	0	0.237923	0	0	0	0	14	116735	14	116735
Multi-Family with 5+ Units	Electricity	AL	1	0	0	0	0	0	0	11	124178	11	124178
Single-Family Attached	Electricity	AL	0.864457	0	0.113426	0	0.0221167	0	0	7	24276.1	102	774429
Single-Family Detached	Electricity	AL	0.865457	0	0.111711	0	0.0228324	0	0	95	750153	95	750153
Mobile Home	Electricity	AR	0.949673	0	0.0503273	0	0	0	0	19	98842.2	19	98842.2
Multi-Family with 2 - 4 Units	Electricity	AR	0.866661	0	0.133339	0	0	0	0	5	24943.3	17	116472
Multi-Family with 5+ Units	Electricity	AR	0.901589	0	0.0984108	0	0	0	0	12	91528.4	12	91528.4
Single-Family Attached	Electricity	AR	0.911659	0	0.0732246	0	0.0151169	0	0	6	14130.6	80	307272
Single-Family Detached	Electricity	AR	0.9074	0	0.0767543	0	0.0158455	0	0	74	293141	74	293141
Mobile Home	Electricity	AZ	1	0	0	0	0	0	0	16	99393.6	16	99393.6
Multi-Family with 2 - 4 Units	Electricity	AZ	0.773698	0	0.226302	0	0	0	0	10	88204.8	10	88204.8
Multi-Family with 5+ Units	Electricity	AZ	0.754785	0	0.245215	0	0	0	0	35	291074	35	291074
Single-Family Attached	Electricity	AZ	0.831054	0	0.168946	0	0	0	0	24	64875.8	24	64875.8
Single-Family Detached	Electricity	AZ	0.781809	0	0.162706	0	0.0367862	0.0186995	0	152	813122	152	813122
Mobile Home	Electricity	CA	0.367525	0	0.576336	0	0.0561391	0	0	6	76465.6	100	1.0342e+06
Multi-Family with 2 - 4 Units	Electricity	CA	0.637869	0	0.362131	0	0	0	0	21	333237	21	333237
Multi-Family with 5+ Units	Electricity	CA	0.568991	0	0.421725	0	0.00928419	0	0	90	1.27878e+06	90	1.27878e+06
Single-Family Attached	Electricity	CA	0.698568	0	0.269642	0	0.0317894	0	0	27	194562	27	194562
Single-Family Detached	Electricity	CA	0.319953	0	0.642806	0	0.0372411	0	0	67	763169	67	763169
Mobile Home	Electricity	CO	0.812268	0	0.187732	0	0	0	0	1	5738.44	21	115102
Multi-Family with 2 - 4 Units	Electricity	CO	0.690664	0	0.309336	0	0	0	0	3	37059.9	27	256784
Multi-Family with 5+ Units	Electricity	CO	0.695033	0	0.304967	0	0	0	0	24	219724	24	219724
Single-Family Attached	Electricity	CO	0.802418	0	0.197582	0	0	0	0	4	22378.8	20	109364
Single-Family Detached	Electricity	CO	0.803295	0	0.196705	0	0	0	0	16	86984.7	16	86984.7
Mobile Home	Electricity	CT	1	0	0	0	0	0	0	0	0	23	73909.3
Multi-Family with 2 - 4 Units	Electricity	CT	0.60172	0	0.360496	0	0.0377836	0	0	9	74199.7	25	190674
Multi-Family with 5+ Units	Electricity	CT	0.571271	0	0.428729	0	0	0	0	16	116475	16	116475
Single-Family Attached	Electricity	CT	1	0	0	0	0	0	0	9	21988.5	23	73909.3
Single-Family Detached	Electricity	CT	1	0	0	0	0	0	0	14	51920.9	14	51920.9
Mobile Home	Electricity	DC	0.859721	0	0.0791039	0	0.0611753	0	0	0	0	13	13077.5
Multi-Family with 2 - 4 Units	Electricity	DC	0.927179	0	0.0728214	0	0	0	0	8	9686.88	71	116110
Multi-Family with 5+ Units	Electricity	DC	0.92055	0	0.0794498	0	0	0	0	63	106424	63	106424
Single-Family Attached	Electricity	DC	0.859721	0	0.0791039	0	0.0611753	0	0	13	13077.5	13	13077.5
Single-Family Detached	Electricity	DC	0.859721	0	0.0791039	0	0.0611753	0	0	0	0	13	13077.5
Mobile Home	Electricity	DE	0.904019	0.017532	0.0150854	0	0.0633642	0	0	7	22498.7	45	118182
Multi-Family with 2 - 4 Units	Electricity	DE	0.782578	0	0.105813	0	0.111608	0	0	3	6517.38	10	33794.2
