Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	fallback_count	fallback_weight
0-100%	Mobile Home	AK	Not Available	0	0	1	7	6824.34	34	24646.7
0-100%	Mobile Home	AK	Owner	0.542601	0.457399	0	5	5023.1	21	15365.4
0-100%	Mobile Home	AK	Renter	0.749492	0.250508	0	2	1801.24	13	9281.34
100-150%	Mobile Home	AK	Not Available	0	0	1	2	600.16	30	16838
100-150%	Mobile Home	AK	Owner	0.729613	0.270387	0	1	272.238	24	13666.4
100-150%	Mobile Home	AK	Renter	0.699103	0.300897	0	1	327.922	16	5661.13
150-200%	Mobile Home	AK	Not Available	0	0	1	3	1190.06	48	20025.1
150-200%	Mobile Home	AK	Owner	0.637685	0.362315	0	2	550.855	38	17535.5
150-200%	Mobile Home	AK	Renter	0.624097	0.375903	0	1	639.206	10	2489.56
200-300%	Mobile Home	AK	Not Available	0	0	1	2	1347.56	54	21077.5
200-300%	Mobile Home	AK	Owner	0.623679	0.376321	0	2	1347.56	39	13827.4
200-300%	Mobile Home	AK	Renter	0.47457	0.52543	0	0	0	15	7250.07
300-400%	Mobile Home	AK	Not Available	0	0	1	2	1543.82	97	30877.3
300-400%	Mobile Home	AK	Owner	0.646206	0.353794	0	2	1543.82	81	25537.9
300-400%	Mobile Home	AK	Renter	0.583218	0.416782	0	0	0	16	5339.37
400%+	Mobile Home	AK	Not Available	0	0	1	0	0	123	85759
400%+	Mobile Home	AK	Owner	0.754062	0.245938	0	0	0	106	74527.7
400%+	Mobile Home	AK	Renter	0.517241	0.482759	0	0	0	17	11231.3
Not Available	Mobile Home	AK	Not Available	0.402626	0.597374	0	12	11505.9	12	11505.9
Not Available	Mobile Home	AK	Owner	0	0	1	9	8737.57	205	160460
Not Available	Mobile Home	AK	Renter	0	0	1	3	2768.36	53	38763.2
0-100%	Mobile Home	AL	Not Available	0	0	1	16	118673	16	118673
0-100%	Mobile Home	AL	Owner	0.453121	0.546879	0	11	75224.8	11	75224.8
0-100%	Mobile Home	AL	Renter	0.465247	0.534753	0	5	43447.9	20	110456
100-150%	Mobile Home	AL	Not Available	0	0	1	8	37162.4	34	111812
100-150%	Mobile Home	AL	Owner	0.550883	0.449117	0	6	32326.1	25	82902.8
100-150%	Mobile Home	AL	Renter	0.35777	0.64223	0	2	4836.32	48	169588
150-200%	Mobile Home	AL	Not Available	0	0	1	6	33653.8	29	128149
150-200%	Mobile Home	AL	Owner	0.377136	0.622864	0	4	25418	20	91910.6
150-200%	Mobile Home	AL	Renter	0.247495	0.752505	0	2	8235.82	36	101315
200-300%	Mobile Home	AL	Not Available	0	0	1	9	25745.9	35	109305
200-300%	Mobile Home	AL	Owner	0.28381	0.71619	0	7	17748.7	29	89660.6
200-300%	Mobile Home	AL	Renter	0.131308	0.868692	0	2	7997.21	47	146494
300-400%	Mobile Home	AL	Not Available	0	0	1	5	23194.7	16	52300.6
300-400%	Mobile Home	AL	Owner	0.48826	0.51174	0	5	23194.7	15	47328.8
300-400%	Mobile Home	AL	Renter	0.355061	0.644939	0	0	0	21	65465.7
400%+	Mobile Home	AL	Not Available	0	0	1	4	17041.5	20	68860.9
400%+	Mobile Home	AL	Owner	0.668375	0.331625	0	4	17041.5	19	68852.2
400%+	Mobile Home	AL	Renter	0.17263	0.82737	0	0	0	37	130134
Not Available	Mobile Home	AL	Not Available	0.448929	0.551071	0	33	255471	33	255471
Not Available	Mobile Home	AL	Owner	0	0	1	25	190954	25	190954
Not Available	Mobile Home	AL	Renter	0	0	1	8	64517.3	34	200229
0-100%	Mobile Home	AR	Not Available	0	0	1	8	36235.4	48	370445
0-100%	Mobile Home	AR	Owner	0.332956	0.667044	0	3	7453.72	32	249664
0-100%	Mobile Home	AR	Renter	0.195535	0.804465	0	5	28781.7	16	120782
100-150%	Mobile Home	AR	Not Available	0	0	1	10	38844.9	10	38844.9
100-150%	Mobile Home	AR	Owner	0.326283	0.673717	0	7	23351.1	35	172575
100-150%	Mobile Home	AR	Renter	0.393293	0.606707	0	3	15493.8	10	55783.7
150-200%	Mobile Home	AR	Not Available	0	0	1	4	14208.3	34	181588
150-200%	Mobile Home	AR	Owner	0.360809	0.639191	0	2	7806.47	27	149019
150-200%	Mobile Home	AR	Renter	0.322535	0.677465	0	2	6401.81	58	216331
200-300%	Mobile Home	AR	Not Available	0	0	1	6	21700.6	30	147493
200-300%	Mobile Home	AR	Owner	0.420897	0.579103	0	5	16811.1	29	142604
200-300%	Mobile Home	AR	Renter	0.32249	0.67751	0	1	4889.52	66	315078
300-400%	Mobile Home	AR	Not Available	0	0	1	2	6542.65	13	66187.2
300-400%	Mobile Home	AR	Owner	0.75958	0.24042	0	2	6542.65	12	59502.6
300-400%	Mobile Home	AR	Renter	0.316754	0.683246	0	0	0	40	170434
400%+	Mobile Home	AR	Not Available	0	0	1	1	4771.53	18	125363
400%+	Mobile Home	AR	Owner	0.803708	0.196292	0	1	4771.53	17	125363
400%+	Mobile Home	AR	Renter	0.286085	0.713915	0	0	0	45	228780
Not Available	Mobile Home	AR	Not Available	0.432981	0.567019	0	24	122303	24	122303
Not Available	Mobile Home	AR	Owner	0	0	1	14	66736.6	14	66736.6
Not Available	Mobile Home	AR	Renter	0	0	1	10	55566.8	10	55566.8
0-100%	Mobile Home	AZ	Not Available	0	0	1	12	74775.2	12	74775.2
0-100%	Mobile Home	AZ	Owner	0.25756	0.74244	0	9	53030.9	21	100198
0-100%	Mobile Home	AZ	Renter	0.342912	0.657088	0	3	21744.3	27	118553
100-150%	Mobile Home	AZ	Not Available	0	0	1	15	53407.2	15	53407.2
100-150%	Mobile Home	AZ	Owner	0.350757	0.649243	0	9	32422	18	74168.3
100-150%	Mobile Home	AZ	Renter	0.376961	0.623039	0	6	20985.2	25	86214.8
150-200%	Mobile Home	AZ	Not Available	0	0	1	9	26817.9	14	44740
150-200%	Mobile Home	AZ	Owner	0.413158	0.586842	0	7	24487.1	11	38315.4
150-200%	Mobile Home	AZ	Renter	0.567896	0.432104	0	2	2330.81	18	44054.1
200-300%	Mobile Home	AZ	Not Available	0	0	1	11	40384.2	11	40384.2
