Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=State	Dependency=Vintage ACS	Option=Central AC	Option=Ducted Heat Pump	Option=Evaporative or Swamp Cooler	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	None	AK	2010s	0.63349	0	0	0	0.36651	0	0	0	16	31485.3
Mobile Home	Ducted Heat Pump	AK	<1940	0	1	0	0	0	0	0	0	13	100027
Mobile Home	Ducted Heating	AK	<1940	0.422178	0	0	0	0.431242	0.14658	0	0	138	953914
Mobile Home	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	0	0	13	105418
Mobile Home	Non-Ducted Heating	AK	<1940	0.0466972	0	0	0	0.573718	0.379585	0	0	44	290799
Mobile Home	None	AK	<1940	0.0176979	0	0	0	0.848093	0.134209	0	0	21	67506.6
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	1940-59	0	1	0	0	0	0	0	0	52	484136
Multi-Family with 2 - 4 Units	Ducted Heating	AK	1940-59	0.165453	0	0	0	0.257724	0.576823	0	0	20	192063
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	0	0	5	34138.9
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	1940-59	0	0	0	0	0.586435	0.413565	2	1444.59	52	290497
Multi-Family with 2 - 4 Units	None	AK	1940-59	0.110273	0	0	0	0.580989	0.308738	0	0	18	98468.3
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	1960-79	0	1	0	0	0	0	0	0	17	154436
Multi-Family with 2 - 4 Units	Ducted Heating	AK	1960-79	0.453654	0	0	0	0.301838	0.244509	2	2309.44	45	547446
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	0	0	9	91399.8
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	1960-79	0	0	0	0	0.913784	0.086216	6	6188.47	15	17109.6
Multi-Family with 2 - 4 Units	None	AK	1960-79	0.0843276	0	0	0	0.336325	0.579347	0	0	57	399427
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	1980-99	0	1	0	0	0	0	0	0	14	135196
Multi-Family with 2 - 4 Units	Ducted Heating	AK	1980-99	0.668197	0	0	0	0.294934	0.0368688	3	3173.08	36	488096
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	0	0	9	91680
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	1980-99	0	0	0	0	0.924767	0.0752327	8	8823.06	14	15918
Multi-Family with 2 - 4 Units	None	AK	1980-99	0.147632	0	0	0	0.553106	0.299262	0	0	39	382958
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	2000-09	0	1	0	0	0	0	0	0	11	117053
Multi-Family with 2 - 4 Units	Ducted Heating	AK	2000-09	0.741732	0	0	0	0.219746	0.0385223	0	0	17	172773
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	0	0	20	162210
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	2000-09	0.43238	0	0	0	0.399992	0.167628	1	1113.17	25	222986
Multi-Family with 2 - 4 Units	None	AK	2000-09	0.31569	0	0	0	0.541803	0.142507	0	0	18	173580
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	2010s	0	1	0	0	0	0	0	0	11	117053
Multi-Family with 2 - 4 Units	Ducted Heating	AK	2010s	0.536764	0	0	0	0.306436	0.1568	2	1950.72	14	120430
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	0	0	20	162210
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	2010s	0.238962	0	0	0	0.304529	0.456508	0	0	31	253992
Multi-Family with 2 - 4 Units	None	AK	2010s	0.539262	0	0	0	0.145654	0.315084	0	0	13	76746
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AK	<1940	0	1	0	0	0	0	0	0	52	484136
Multi-Family with 2 - 4 Units	Ducted Heating	AK	<1940	0.251984	0	0	0	0.29547	0.452545	0	0	20	299550
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	0	0	5	34138.9
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AK	<1940	0	0	0	0	0.478242	0.521758	1	742.807	35	321119
Multi-Family with 2 - 4 Units	None	AK	<1940	0.366324	0	0	0	0.306718	0.326958	0	0	10	85131.4
Multi-Family with 5+ Units	Ducted Heat Pump	AK	1940-59	0	1	0	0	0	0	0	0	52	484136
Multi-Family with 5+ Units	Ducted Heating	AK	1940-59	0.165453	0	0	0	0.257724	0.576823	1	1218.25	20	192063
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	0	0	5	34138.9
Multi-Family with 5+ Units	Non-Ducted Heating	AK	1940-59	0	0	0	0	0.586435	0.413565	4	4250.79	52	290497
Multi-Family with 5+ Units	None	AK	1940-59	0.110273	0	0	0	0.580989	0.308738	0	0	18	98468.3
Multi-Family with 5+ Units	Ducted Heat Pump	AK	1960-79	0	1	0	0	0	0	0	0	17	154436
Multi-Family with 5+ Units	Ducted Heating	AK	1960-79	0.453654	0	0	0	0.301838	0.244509	2	1824.77	45	547446
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	0	0	9	91399.8
Multi-Family with 5+ Units	Non-Ducted Heating	AK	1960-79	0	0	0	0	0.913784	0.086216	9	10921.1	15	17109.6
Multi-Family with 5+ Units	None	AK	1960-79	0.0843276	0	0	0	0.336325	0.579347	0	0	57	399427
Multi-Family with 5+ Units	Ducted Heat Pump	AK	1980-99	0	1	0	0	0	0	0	0	14	135196
Multi-Family with 5+ Units	Ducted Heating	AK	1980-99	0.668197	0	0	0	0.294934	0.0368688	1	1145.49	36	488096
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	0	0	9	91680
Multi-Family with 5+ Units	Non-Ducted Heating	AK	1980-99	0	0	0	0	0.924767	0.0752327	6	7094.98	14	15918
Multi-Family with 5+ Units	None	AK	1980-99	0.147632	0	0	0	0.553106	0.299262	0	0	39	382958
Multi-Family with 5+ Units	Ducted Heat Pump	AK	2000-09	0	1	0	0	0	0	0	0	11	117053
Multi-Family with 5+ Units	Ducted Heating	AK	2000-09	0.741732	0	0	0	0.219746	0.0385223	1	1008.37	17	172773
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	0	0	20	162210
Multi-Family with 5+ Units	Non-Ducted Heating	AK	2000-09	0.43238	0	0	0	0.399992	0.167628	1	930.575	25	222986
Multi-Family with 5+ Units	None	AK	2000-09	0.31569	0	0	0	0.541803	0.142507	1	1070.2	18	173580
Multi-Family with 5+ Units	Ducted Heat Pump	AK	2010s	0	1	0	0	0	0	0	0	11	117053
Multi-Family with 5+ Units	Ducted Heating	AK	2010s	0.536764	0	0	0	0.306436	0.1568	0	0	14	120430
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	0	0	20	162210
Multi-Family with 5+ Units	Non-Ducted Heating	AK	2010s	0.238962	0	0	0	0.304529	0.456508	2	1844.5	31	253992
Multi-Family with 5+ Units	None	AK	2010s	0.539262	0	0	0	0.145654	0.315084	1	915.055	13	76746
Multi-Family with 5+ Units	Ducted Heat Pump	AK	<1940	0	1	0	0	0	0	0	0	52	484136
Multi-Family with 5+ Units	Ducted Heating	AK	<1940	0.251984	0	0	0	0.29547	0.452545	0	0	20	299550
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	0	0	5	34138.9
Multi-Family with 5+ Units	Non-Ducted Heating	AK	<1940	0	0	0	0	0.478242	0.521758	0	0	35	321119
Multi-Family with 5+ Units	None	AK	<1940	0.366324	0	0	0	0.306718	0.326958	0	0	10	85131.4
Single-Family Attached	Ducted Heat Pump	AK	1940-59	0	1	0	0	0	0	0	0	13	76826.5
Single-Family Attached	Ducted Heating	AK	1940-59	0	0	0	0	1	0	1	608.423	10	6409.77
Single-Family Attached	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	0	0	13	56795.6
Single-Family Attached	Non-Ducted Heating	AK	1940-59	0.183159	0	0	0	0.390064	0.426777	0	0	87	479473
Single-Family Attached	None	AK	1940-59	0.0747971	0	0	0	0.668445	0.256758	0	0	51	212335
Single-Family Attached	Ducted Heat Pump	AK	1960-79	0	1	0	0	0	0	0	0	31	209617
Single-Family Attached	Ducted Heating	AK	1960-79	0	0	0	0	1	0	8	4311.88	17	11963.4
Single-Family Attached	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	0	0	10	56246.4
Single-Family Attached	Non-Ducted Heating	AK	1960-79	0	0	0	0	0.934543	0.0654567	7	3856.66	45	35804.9
Single-Family Attached	None	AK	1960-79	0.24731	0	0	0	0.517442	0.235248	0	0	86	323953
Single-Family Attached	Ducted Heat Pump	AK	1980-99	0	1	0	0	0	0	0	0	34	213585
Single-Family Attached	Ducted Heating	AK	1980-99	0.0475074	0	0	0	0.835037	0.117456	8	4484.97	39	29616.4
Single-Family Attached	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	0	0	41	254095
Single-Family Attached	Non-Ducted Heating	AK	1980-99	0	0	0	0	0.825613	0.174387	12	6954.38	12	6954.38
Single-Family Attached	None	AK	1980-99	0.243416	0	0	0	0.482426	0.274157	1	673.015	77	216571
Single-Family Attached	Ducted Heat Pump	AK	2000-09	0	1	0	0	0	0	1	524.772	16	87905.7
Single-Family Attached	Ducted Heating	AK	2000-09	0.050648	0	0	0	0.900376	0.0489758	7	3594.79	24	15922.4
Single-Family Attached	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	0	0	41	254095
Single-Family Attached	Non-Ducted Heating	AK	2000-09	0	0	0	0	0.968405	0.0315948	0	0	28	21835
Single-Family Attached	None	AK	2000-09	0.688798	0	0	0	0.128166	0.183036	0	0	28	87678.3
Single-Family Attached	Ducted Heat Pump	AK	2010s	0	1	0	0	0	0	0	0	22	114163
Single-Family Attached	Ducted Heating	AK	2010s	0	0	0	0	0.884236	0.115764	2	964.541	11	7016.26
Single-Family Attached	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	0	0	41	254095
Single-Family Attached	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	4	2615.59	13	8775.93
Single-Family Attached	None	AK	2010s	0.63349	0	0	0	0.36651	0	0	0	16	31485.3
Single-Family Attached	Ducted Heat Pump	AK	<1940	0	1	0	0	0	0	0	0	13	100027
Single-Family Attached	Ducted Heating	AK	<1940	0.422178	0	0	0	0.431242	0.14658	0	0	138	953914
Single-Family Attached	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	0	0	13	105418
Single-Family Attached	Non-Ducted Heating	AK	<1940	0.0466972	0	0	0	0.573718	0.379585	0	0	44	290799
Single-Family Attached	None	AK	<1940	0.0176979	0	0	0	0.848093	0.134209	0	0	21	67506.6
Single-Family Detached	Ducted Heat Pump	AK	1940-59	0	1	0	0	0	0	0	0	13	76826.5
Single-Family Detached	Ducted Heating	AK	1940-59	0	0	0	0	1	0	9	5801.35	10	6409.77
Single-Family Detached	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	0	0	13	56795.6
Single-Family Detached	Non-Ducted Heating	AK	1940-59	0.183159	0	0	0	0.390064	0.426777	6	2371.18	87	479473
Single-Family Detached	None	AK	1940-59	0.0747971	0	0	0	0.668445	0.256758	0	0	51	212335
Single-Family Detached	Ducted Heat Pump	AK	1960-79	0	1	0	0	0	0	0	0	31	209617
Single-Family Detached	Ducted Heating	AK	1960-79	0	0	0	0	1	0	9	7651.49	17	11963.4
Single-Family Detached	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	0	0	10	56246.4
Single-Family Detached	Non-Ducted Heating	AK	1960-79	0	0	0	0	0.926642	0.0733584	38	31948.3	38	31948.3
Single-Family Detached	None	AK	1960-79	0.24731	0	0	0	0.517442	0.235248	0	0	86	323953
Single-Family Detached	Ducted Heat Pump	AK	1980-99	0	1	0	0	0	0	0	0	34	213585
Single-Family Detached	Ducted Heating	AK	1980-99	0.0559856	0	0	0	0.805597	0.138417	31	25131.4	31	25131.4
Single-Family Detached	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	0	0	41	254095
Single-Family Detached	Non-Ducted Heating	AK	1980-99	0	0	0	0	0.974503	0.0254974	39	33882.3	39	33882.3
Single-Family Detached	None	AK	1980-99	0.243416	0	0	0	0.482426	0.274157	0	0	77	216571
Single-Family Detached	Ducted Heat Pump	AK	2000-09	0	1	0	0	0	0	0	0	16	87905.7
Single-Family Detached	Ducted Heating	AK	2000-09	0.0663121	0	0	0	0.869565	0.0641226	17	12327.7	17	12327.7
Single-Family Detached	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	0	0	41	254095
Single-Family Detached	Non-Ducted Heating	AK	2000-09	0	0	0	0	0.968405	0.0315948	28	21835	28	21835
Single-Family Detached	None	AK	2000-09	0.688798	0	0	0	0.128166	0.183036	0	0	28	87678.3
Single-Family Detached	Ducted Heat Pump	AK	2010s	0	1	0	0	0	0	0	0	22	114163
Single-Family Detached	Ducted Heating	AK	2010s	0	0	0	0	0.884236	0.115764	9	6051.72	11	7016.26
Single-Family Detached	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	0	0	41	254095
Single-Family Detached	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	9	6160.34	13	8775.93
Single-Family Detached	None	AK	2010s	0.63349	0	0	0	0.36651	0	0	0	16	31485.3
Single-Family Detached	Ducted Heat Pump	AK	<1940	0	1	0	0	0	0	0	0	13	100027
Single-Family Detached	Ducted Heating	AK	<1940	0.422178	0	0	0	0.431242	0.14658	3	2150.84	138	953914
Single-Family Detached	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	0	0	13	105418
Single-Family Detached	Non-Ducted Heating	AK	<1940	0.0466972	0	0	0	0.573718	0.379585	5	3817.07	44	290799
Single-Family Detached	None	AK	<1940	0.0176979	0	0	0	0.848093	0.134209	0	0	21	67506.6
Mobile Home	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	0	0	45	188300
Mobile Home	Ducted Heating	AL	1940-59	0.910515	0	0	0	0.0219519	0.0675333	1	10896.1	138	466129
Mobile Home	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	AL	1940-59	0.169591	0	0	0	0.134491	0.695919	1	11359.4	38	97707.8
Mobile Home	None	AL	1940-59	0.589407	0	0	0	0.197562	0.213031	0	0	15	153709
Mobile Home	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	3	24116.3	86	485094
Mobile Home	Ducted Heating	AL	1960-79	0.501422	0	0	0	0	0.498578	4	33120.1	14	84394.2
Mobile Home	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	0	0	10	72307.2
Mobile Home	Non-Ducted Heating	AL	1960-79	0.420811	0	0	0	0.0687195	0.51047	0	0	32	196202
Mobile Home	None	AL	1960-79	0.819646	0	0	0	0.0364022	0.143952	0	0	42	422547
Mobile Home	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	5	39913.9	22	129137
Mobile Home	Ducted Heating	AL	1980-99	0.620424	0	0	0	0	0.379576	4	32059.3	20	125120
Mobile Home	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	1	8088.1	13	102400
Mobile Home	Non-Ducted Heating	AL	1980-99	0.213745	0	0	0	0.137311	0.648945	2	18649.8	17	104692
Mobile Home	None	AL	1980-99	0.870841	0	0	0	0.0441169	0.0850423	1	7985.57	53	577082
Mobile Home	Ducted Heat Pump	AL	2000-09	0	1	0	0	0	0	7	42371.1	14	68633.6
Mobile Home	Ducted Heating	AL	2000-09	0.86756	0	0	0	0.0736213	0.0588186	2	11152	13	54935.2
Mobile Home	Non-Ducted Heat Pump	AL	2000-09	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	AL	2000-09	0.637896	0	0	0	0	0.362104	0	0	16	71467.6
Mobile Home	None	AL	2000-09	0.882841	0	0	0	0.0913497	0.0258091	0	0	57	529245
Mobile Home	Ducted Heat Pump	AL	2010s	0	1	0	0	0	0	0	0	31	170276
Mobile Home	Ducted Heating	AL	2010s	0.935977	0	0	0	0.0287359	0.035287	1	6991.79	58	275629
Mobile Home	Non-Ducted Heat Pump	AL	2010s	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	AL	2010s	0.698828	0	0	0	0.225501	0.0756708	1	8767.81	11	59826.6
Mobile Home	None	AL	2010s	0.882841	0	0	0	0.0913497	0.0258091	0	0	57	529245
Mobile Home	Ducted Heat Pump	AL	<1940	0	1	0	0	0	0	0	0	24	77843.2
Mobile Home	Ducted Heating	AL	<1940	0.855291	0	0	0	0.0397964	0.104913	0	0	85	284548
Mobile Home	Non-Ducted Heat Pump	AL	<1940	0	0	0	1	0	0	0	0	35	266159
Mobile Home	Non-Ducted Heating	AL	<1940	0.228907	0	0	0	0.120487	0.650606	0	0	31	107781
Mobile Home	None	AL	<1940	0.589407	0	0	0	0.197562	0.213031	0	0	15	153709
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	0	0	31	174958
Multi-Family with 2 - 4 Units	Ducted Heating	AL	1940-59	0.813157	0	0	0	0.076557	0.110286	1	1970.24	50	308552
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	1940-59	0.283731	0	0	0	0.0653318	0.650937	0	0	49	262359
Multi-Family with 2 - 4 Units	None	AL	1940-59	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	2	16800.7	17	130118
Multi-Family with 2 - 4 Units	Ducted Heating	AL	1960-79	0.822275	0	0	0	0.129494	0.0482309	2	20842.7	21	158207
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	1960-79	0.674287	0	0	0	0.139657	0.186056	0	0	55	439244
Multi-Family with 2 - 4 Units	None	AL	1960-79	0.693856	0	0	0	0.182979	0.123164	0	0	26	412662
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	2	19180.5	20	183734
Multi-Family with 2 - 4 Units	Ducted Heating	AL	1980-99	1	0	0	0	0	0	1	10980.3	10	60230.6
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	1980-99	0.237359	0	0	0	0.250067	0.512574	2	20481.9	10	98386.1
Multi-Family with 2 - 4 Units	None	AL	1980-99	0.949851	0	0	0	0.0318391	0.0183102	0	0	34	498940
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	2000-09	0	1	0	0	0	0	4	27940.5	15	103098
Multi-Family with 2 - 4 Units	Ducted Heating	AL	2000-09	0.744377	0	0	0	0.255623	0	2	10264.7	10	54551
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	2000-09	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	2000-09	0.775165	0	0	0	0.07886	0.145975	1	7919.96	49	437993
Multi-Family with 2 - 4 Units	None	AL	2000-09	0.890226	0	0	0	0.0695433	0.0402311	0	0	36	416214
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	2010s	0	1	0	0	0	0	0	0	23	153538
Multi-Family with 2 - 4 Units	Ducted Heating	AL	2010s	1	0	0	0	0	0	1	11086.2	14	108967
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	2010s	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	2010s	0.775165	0	0	0	0.07886	0.145975	0	0	49	437993
Multi-Family with 2 - 4 Units	None	AL	2010s	0.890226	0	0	0	0.0695433	0.0402311	0	0	36	416214
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	<1940	0	1	0	0	0	0	0	0	31	174958
Multi-Family with 2 - 4 Units	Ducted Heating	AL	<1940	0.813157	0	0	0	0.076557	0.110286	1	5091.56	50	308552
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	<1940	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	<1940	0.283731	0	0	0	0.0653318	0.650937	0	0	49	262359
Multi-Family with 2 - 4 Units	None	AL	<1940	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 5+ Units	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	0	0	31	174958
Multi-Family with 5+ Units	Ducted Heating	AL	1940-59	0.813157	0	0	0	0.076557	0.110286	1	2680.26	50	308552
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	AL	1940-59	0.283731	0	0	0	0.0653318	0.650937	0	0	49	262359
Multi-Family with 5+ Units	None	AL	1940-59	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Multi-Family with 5+ Units	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	0	0	17	130118
Multi-Family with 5+ Units	Ducted Heating	AL	1960-79	0.857604	0	0	0	0.142396	0	2	20476.2	13	103393
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	AL	1960-79	0.674287	0	0	0	0.139657	0.186056	0	0	55	439244
Multi-Family with 5+ Units	None	AL	1960-79	0.693856	0	0	0	0.182979	0.123164	0	0	26	412662
Multi-Family with 5+ Units	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	3	38133.1	14	140702
Multi-Family with 5+ Units	Ducted Heating	AL	1980-99	0.919681	0	0	0	0	0.0803186	0	0	19	130801
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	AL	1980-99	0.237359	0	0	0	0.250067	0.512574	2	24723.7	10	98386.1
Multi-Family with 5+ Units	None	AL	1980-99	0.949851	0	0	0	0.0318391	0.0183102	1	12616.2	34	498940
Multi-Family with 5+ Units	Ducted Heat Pump	AL	2000-09	0	1	0	0	0	0	1	8922.2	15	103098
Multi-Family with 5+ Units	Ducted Heating	AL	2000-09	0.744377	0	0	0	0.255623	0	0	0	10	54551
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	2000-09	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	AL	2000-09	0.775165	0	0	0	0.07886	0.145975	0	0	49	437993
Multi-Family with 5+ Units	None	AL	2000-09	0.890226	0	0	0	0.0695433	0.0402311	0	0	36	416214
Multi-Family with 5+ Units	Ducted Heat Pump	AL	2010s	0	1	0	0	0	0	0	0	23	153538
Multi-Family with 5+ Units	Ducted Heating	AL	2010s	1	0	0	0	0	0	3	35885.7	12	92716.1
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	2010s	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	AL	2010s	0.775165	0	0	0	0.07886	0.145975	0	0	49	437993
Multi-Family with 5+ Units	None	AL	2010s	0.890226	0	0	0	0.0695433	0.0402311	0	0	36	416214
Multi-Family with 5+ Units	Ducted Heat Pump	AL	<1940	0	1	0	0	0	0	0	0	31	174958
Multi-Family with 5+ Units	Ducted Heating	AL	<1940	0.813157	0	0	0	0.076557	0.110286	1	6926.4	50	308552
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	<1940	0	0	0	1	0	0	0	0	14	125655
Multi-Family with 5+ Units	Non-Ducted Heating	AL	<1940	0.283731	0	0	0	0.0653318	0.650937	0	0	49	262359
Multi-Family with 5+ Units	None	AL	<1940	0.849495	0	0	0	0.085747	0.0647577	0	0	102	1.39304e+06
Single-Family Attached	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	0	0	44	187125
Single-Family Attached	Ducted Heating	AL	1940-59	0.932074	0	0	0	0.0225549	0.0453708	0	0	136	453667
Single-Family Attached	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	0	0	35	266159
Single-Family Attached	Non-Ducted Heating	AL	1940-59	0.182082	0	0	0	0.156715	0.661204	0	0	35	83851.5
