Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=No	Option=Yes	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Level 1 charger	0-100%	Mobile Home	Not Available	1940-59	0	0	1	5.45563e-18	5.24871e-18	7.747	45512.5
Level 1 charger	0-100%	Mobile Home	Not Available	1960-79	0	0	1	0.109113	919.696	7.747	45512.5
Level 1 charger	0-100%	Mobile Home	Not Available	1980-99	0	0	1	0.163669	732.457	7.747	45512.5
Level 1 charger	0-100%	Mobile Home	Not Available	2000-09	0	0	1	0.0545563	59.9681	7.747	45512.5
Level 1 charger	0-100%	Mobile Home	Not Available	2010s	0	0	1	5.45563e-18	5.24871e-18	7.747	45512.5
Level 1 charger	0-100%	Mobile Home	Not Available	<1940	0	0	1	5.45563e-18	5.24871e-18	7.747	45512.5
Level 1 charger	0-100%	Mobile Home	Owner	1940-59	0.1054	0.8946	0	2.57322e-18	2.40075e-18	3.65398	20817.3
Level 1 charger	0-100%	Mobile Home	Owner	1960-79	0.1054	0.8946	0	0.0514645	420.666	3.65398	20817.3
Level 1 charger	0-100%	Mobile Home	Owner	1980-99	0.1054	0.8946	0	0.0771967	335.024	3.65398	20817.3
Level 1 charger	0-100%	Mobile Home	Owner	2000-09	0.1054	0.8946	0	0.0257322	27.4292	3.65398	20817.3
Level 1 charger	0-100%	Mobile Home	Owner	2010s	0.1054	0.8946	0	2.57322e-18	2.40075e-18	3.65398	20817.3
Level 1 charger	0-100%	Mobile Home	Owner	<1940	0.1054	0.8946	0	2.57322e-18	2.40075e-18	3.65398	20817.3
Level 1 charger	0-100%	Mobile Home	Renter	1940-59	0.197402	0.802598	0	5.34358e-19	5.4993e-19	0.758789	4768.54
Level 1 charger	0-100%	Mobile Home	Renter	1960-79	0.197402	0.802598	0	0.0106872	96.3606	0.758789	4768.54
Level 1 charger	0-100%	Mobile Home	Renter	1980-99	0.197402	0.802598	0	0.0160307	76.7428	0.758789	4768.54
Level 1 charger	0-100%	Mobile Home	Renter	2000-09	0.197402	0.802598	0	0.00534358	6.28312	0.758789	4768.54
Level 1 charger	0-100%	Mobile Home	Renter	2010s	0.197402	0.802598	0	5.34358e-19	5.4993e-19	0.758789	4768.54
Level 1 charger	0-100%	Mobile Home	Renter	<1940	0.197402	0.802598	0	5.34358e-19	5.4993e-19	0.758789	4768.54
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.0870201	403.74	0.870201	7836.39
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.0435101	387.195	0.870201	7836.39
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	4.35101e-18	4.3977e-18	0.870201	7836.39
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	4.35101e-18	4.3977e-18	0.870201	7836.39
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.0435101	377.656	0.870201	7836.39
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.0435101	320.2	0.870201	7836.39
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.398034	0.601966	0	0.000220808	1.1979	0.00220808	23.2506
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.398034	0.601966	0	0.000110404	1.14881	0.00220808	23.2506
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.398034	0.601966	0	1.10404e-20	1.3048e-20	0.00220808	23.2506
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.398034	0.601966	0	1.10404e-20	1.3048e-20	0.00220808	23.2506
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	2010s	0.398034	0.601966	0	0.000110404	1.12051	0.00220808	23.2506
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Owner	<1940	0.398034	0.601966	0	0.000110404	0.950035	0.00220808	23.2506
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.736095	0.263905	0	0.0784472	360.954	0.784472	7005.94
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.736095	0.263905	0	0.0392236	346.163	0.784472	7005.94
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.736095	0.263905	0	3.92236e-18	3.93166e-18	0.784472	7005.94
