Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	fallback_count	fallback_weight
East North Central	Mobile Home	1	1940-59	0	1	0	0	2	2534.4	131	243453
East North Central	Mobile Home	2	1940-59	0	1	0	0	2	2534.4	131	243453
East North Central	Mobile Home	3	1940-59	0	1	0	0	2	2534.4	131	243453
East North Central	Mobile Home	4+	1940-59	0	1	0	0	2	2534.4	131	243453
East North Central	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	41	72708.1	41	72708.1
East North Central	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	41	72708.1	41	72708.1
East North Central	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	41	72708.1	41	72708.1
East North Central	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	41	72708.1	41	72708.1
East North Central	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	41	70701.3	41	70701.3
East North Central	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	41	70701.3	41	70701.3
East North Central	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	41	70701.3	41	70701.3
East North Central	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	41	70701.3	41	70701.3
East North Central	Single-Family Attached	1	1940-59	0	0.459913	0.121323	0.418765	4	15025.3	10	48227.4
East North Central	Single-Family Attached	2	1940-59	0.123223	0.0520342	0.0623756	0.762367	15	37100.8	15	37100.8
East North Central	Single-Family Attached	3	1940-59	0	0.797091	0.0305212	0.172388	2	9491.41	25	106776
East North Central	Single-Family Attached	4+	1940-59	0	1	0	0	1	4533.1	11	36137.3
East North Central	Single-Family Detached	1	1940-59	0	0.304663	0.0543099	0.641027	269	1.82312e+06	269	1.82312e+06
East North Central	Single-Family Detached	2	1940-59	0.0940001	0.337674	0.0447115	0.523615	250	1.06408e+06	250	1.06408e+06
East North Central	Single-Family Detached	3	1940-59	0.141831	0.766666	0.00804005	0.0834628	3	11525.1	10	52722.8
East North Central	Single-Family Detached	4+	1940-59	0	1	0	0	0	0	11	36137.3
East North Central	Mobile Home	1	1960-79	0	1	0	0	16	36734.6	16	36734.6
East North Central	Mobile Home	2	1960-79	0	1	0	0	16	36734.6	16	36734.6
East North Central	Mobile Home	3	1960-79	0	1	0	0	16	36734.6	16	36734.6
East North Central	Mobile Home	4+	1960-79	0	1	0	0	16	36734.6	16	36734.6
East North Central	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	22	84370.1	22	84370.1
East North Central	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	22	84370.1	22	84370.1
East North Central	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	22	84370.1	22	84370.1
East North Central	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	22	84370.1	22	84370.1
East North Central	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	78	243098	78	243098
East North Central	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	78	243098	78	243098
East North Central	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	78	243098	78	243098
East North Central	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	78	243098	78	243098
East North Central	Single-Family Attached	1	1960-79	0	0.599403	0.0408626	0.359734	18	72776.7	18	72776.7
East North Central	Single-Family Attached	2	1960-79	0.0108543	0.570954	0.0108543	0.407337	31	133175	31	133175
East North Central	Single-Family Attached	3	1960-79	0	0.797091	0.0305212	0.172388	1	4348.67	25	106776
East North Central	Single-Family Attached	4+	1960-79	0	1	0	0	0	0	11	36137.3
East North Central	Single-Family Detached	1	1960-79	0	0.301025	0.0381884	0.660787	241	1.92554e+06	241	1.92554e+06
East North Central	Single-Family Detached	2	1960-79	0.0209961	0.367716	0.0396055	0.571683	132	1.05613e+06	132	1.05613e+06
East North Central	Single-Family Detached	3	1960-79	0	0.345959	0.0816778	0.572363	14	127597	14	127597
East North Central	Single-Family Detached	4+	1960-79	0	1	0	0	1	5801.05	11	36137.3
East North Central	Mobile Home	1	1980-99	0	1	0	0	25	68825.5	25	68825.5
East North Central	Mobile Home	2	1980-99	0	1	0	0	25	68825.5	25	68825.5
East North Central	Mobile Home	3	1980-99	0	1	0	0	25	68825.5	25	68825.5
East North Central	Mobile Home	4+	1980-99	0	1	0	0	25	68825.5	25	68825.5
East North Central	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	19	78188.1	19	78188.1
East North Central	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	19	78188.1	19	78188.1
East North Central	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	19	78188.1	19	78188.1
East North Central	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	19	78188.1	19	78188.1
East North Central	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	56	176391	56	176391
East North Central	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	56	176391	56	176391
East North Central	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	56	176391	56	176391
East North Central	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	56	176391	56	176391
East North Central	Single-Family Attached	1	1980-99	0	0.55159	0.0322548	0.416155	30	152757	30	152757
East North Central	Single-Family Attached	2	1980-99	0.0179538	0.506122	0.029563	0.446362	32	162263	32	162263
East North Central	Single-Family Attached	3	1980-99	0	0.797091	0.0305212	0.172388	5	23509.2	25	106776
East North Central	Single-Family Attached	4+	1980-99	0	1	0	0	0	0	11	36137.3
East North Central	Single-Family Detached	1	1980-99	0	0.326375	0.0413884	0.632237	125	1.1473e+06	125	1.1473e+06
East North Central	Single-Family Detached	2	1980-99	0.0104274	0.321188	0.0324914	0.635894	138	1.3692e+06	138	1.3692e+06
East North Central	Single-Family Detached	3	1980-99	0.00409357	0.680344	0.00409357	0.311469	9	86443.5	15	110881
East North Central	Single-Family Detached	4+	1980-99	0	1	0	0	0	0	11	36137.3
East North Central	Mobile Home	1	2000-09	0	1	0	0	9	19471.9	20	41624.8
East North Central	Mobile Home	2	2000-09	0	1	0	0	9	19471.9	20	41624.8
East North Central	Mobile Home	3	2000-09	0	1	0	0	9	19471.9	20	41624.8
East North Central	Mobile Home	4+	2000-09	0	1	0	0	9	19471.9	20	41624.8
East North Central	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	8	28553.4	12	41243
East North Central	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	8	28553.4	12	41243
East North Central	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	8	28553.4	12	41243
East North Central	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	8	28553.4	12	41243
East North Central	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	37	102011	37	102011
East North Central	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	37	102011	37	102011
East North Central	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	37	102011	37	102011
East North Central	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	37	102011	37	102011
East North Central	Single-Family Attached	1	2000-09	0	0.693952	0	0.306048	26	97492.9	26	97492.9
East North Central	Single-Family Attached	2	2000-09	0	0.722293	0.0660818	0.211626	14	54552.8	14	54552.8
East North Central	Single-Family Attached	3	2000-09	0	0.780928	0	0.219072	6	24890.9	10	37287.4
East North Central	Single-Family Attached	4+	2000-09	0	1	0	0	2	7770.94	11	36137.3
East North Central	Single-Family Detached	1	2000-09	0	0.393056	0.0145172	0.592427	75	521502	75	521502
East North Central	Single-Family Detached	2	2000-09	0.0675921	0.232787	0.0637499	0.635871	81	609442	81	609442
East North Central	Single-Family Detached	3	2000-09	0.106387	0.537958	0	0.355655	5	32492.5	12	54564.7
East North Central	Single-Family Detached	4+	2000-09	0	1	0	0	0	0	11	36137.3
East North Central	Mobile Home	1	2010s	0	1	0	0	11	22152.9	11	22152.9
East North Central	Mobile Home	2	2010s	0	1	0	0	11	22152.9	11	22152.9
East North Central	Mobile Home	3	2010s	0	1	0	0	11	22152.9	11	22152.9
East North Central	Mobile Home	4+	2010s	0	1	0	0	11	22152.9	11	22152.9
East North Central	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	4	12689.6	12	41243
East North Central	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	4	12689.6	12	41243
East North Central	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	4	12689.6	12	41243
East North Central	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	4	12689.6	12	41243
East North Central	Multi-Family with 5+ Units	1	2010s	0	1	0	0	26	59033.1	26	59033.1
East North Central	Multi-Family with 5+ Units	2	2010s	0	1	0	0	26	59033.1	26	59033.1
East North Central	Multi-Family with 5+ Units	3	2010s	0	1	0	0	26	59033.1	26	59033.1
East North Central	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	26	59033.1	26	59033.1
East North Central	Single-Family Attached	1	2010s	0	0.632528	0	0.367472	6	22670.7	32	120164
East North Central	Single-Family Attached	2	2010s	0	0.632442	0.044542	0.323016	6	26380.9	20	80933.7
East North Central	Single-Family Attached	3	2010s	0	0.780928	0	0.219072	2	7069.09	10	37287.4
East North Central	Single-Family Attached	4+	2010s	0	1	0	0	0	0	11	36137.3
East North Central	Single-Family Detached	1	2010s	0	0.275019	0.0094511	0.71553	32	211457	32	211457
East North Central	Single-Family Detached	2	2010s	0.00797653	0.395743	0.0238904	0.57239	42	262297	42	262297
East North Central	Single-Family Detached	3	2010s	0.106387	0.537958	0	0.355655	1	8014.47	12	54564.7
East North Central	Single-Family Detached	4+	2010s	0	1	0	0	0	0	11	36137.3
East North Central	Mobile Home	1	<1940	0	1	0	0	2	6549.46	131	243453
East North Central	Mobile Home	2	<1940	0	1	0	0	2	6549.46	131	243453
East North Central	Mobile Home	3	<1940	0	1	0	0	2	6549.46	131	243453
East North Central	Mobile Home	4+	<1940	0	1	0	0	2	6549.46	131	243453
East North Central	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	33	94920.9	33	94920.9
East North Central	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	33	94920.9	33	94920.9
East North Central	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	33	94920.9	33	94920.9
East North Central	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	33	94920.9	33	94920.9
East North Central	Multi-Family with 5+ Units	1	<1940	0	1	0	0	29	83082.4	29	83082.4
East North Central	Multi-Family with 5+ Units	2	<1940	0	1	0	0	29	83082.4	29	83082.4
East North Central	Multi-Family with 5+ Units	3	<1940	0	1	0	0	29	83082.4	29	83082.4
East North Central	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	29	83082.4	29	83082.4
East North Central	Single-Family Attached	1	<1940	0	0.459913	0.121323	0.418765	0	0	10	48227.4
East North Central	Single-Family Attached	2	<1940	0.274199	0.115788	0.1388	0.471213	11	43086.4	11	43086.4
East North Central	Single-Family Attached	3	<1940	0	0.797091	0.0305212	0.172388	1	6859.21	25	106776
East North Central	Single-Family Attached	4+	<1940	0	1	0	0	0	0	11	36137.3
East North Central	Single-Family Detached	1	<1940	0	0.227425	0.057371	0.715204	114	843659	114	843659
East North Central	Single-Family Detached	2	<1940	0.097372	0.273518	0.0590786	0.570032	199	1.47739e+06	199	1.47739e+06
East North Central	Single-Family Detached	3	<1940	0.141831	0.766666	0.00804005	0.0834628	2	10109.9	10	52722.8
East North Central	Single-Family Detached	4+	<1940	0	1	0	0	0	0	11	36137.3
East South Central	Mobile Home	1	1940-59	0	1	0	0	6	6873.45	14	34841.4
East South Central	Mobile Home	2	1940-59	0	1	0	0	6	6873.45	14	34841.4
East South Central	Mobile Home	3	1940-59	0	1	0	0	6	6873.45	14	34841.4
East South Central	Mobile Home	4+	1940-59	0	1	0	0	6	6873.45	14	34841.4
East South Central	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	6	4932.75	45	68681.8
East South Central	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	6	4932.75	45	68681.8
East South Central	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	6	4932.75	45	68681.8
East South Central	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	6	4932.75	45	68681.8
