Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	Fuel Oil	SC	1980s	0	0.726166	0	0.273834	0	0	0	24	153895
Mobile Home	Natural Gas	SC	1980s	0	0.965387	0	0.0346133	0	2	15134.6	102	678565
Mobile Home	None	SC	1980s	0	0	0	0	1	0	0	22	252978
Mobile Home	Other Fuel	SC	1980s	0	0.0846033	0	0.915397	0	0	0	11	72307.2
Mobile Home	Propane	SC	1980s	0	0.709096	0	0.290904	0	2	14746.4	17	116396
Mobile Home	Wood	SC	1980s	0	0.0846033	0	0.915397	0	0	0	11	72307.2
Mobile Home	Electricity	SC	1990s	0.794954	0.205046	0	0	0	10	73257.8	10	73257.8
Mobile Home	Fuel Oil	SC	1990s	0	0.796669	0	0.203331	0	0	0	18	110781
Mobile Home	Natural Gas	SC	1990s	0	0.958399	0	0.0416014	0	1	6616.62	142	992053
Mobile Home	None	SC	1990s	0	0	0	0	1	0	0	22	256540
Mobile Home	Other Fuel	SC	1990s	0	0	0	1	0	0	0	10	69923.5
Mobile Home	Propane	SC	1990s	0	0.808671	0	0.191329	0	0	0	16	104904
Mobile Home	Wood	SC	1990s	0	0	0	1	0	0	0	10	69923.5
Mobile Home	Electricity	SC	2000s	0.497189	0.389674	0	0.113137	0	7	44917.2	28	231209
Mobile Home	Fuel Oil	SC	2000s	0	0.863429	0	0.136571	0	0	0	22	109272
Mobile Home	Natural Gas	SC	2000s	0	0.973171	0	0.026829	0	0	0	163	952168
Mobile Home	None	SC	2000s	0	0	0	0	1	0	0	27	273149
Mobile Home	Other Fuel	SC	2000s	0	0	0	1	0	0	0	12	62893.2
Mobile Home	Propane	SC	2000s	0	0.846048	0	0.153952	0	1	6726.88	19	96935.2
Mobile Home	Wood	SC	2000s	0	0	0	1	0	0	0	12	62893.2
Mobile Home	Electricity	SC	2010s	0.5481	0.370198	0.0817021	0	0	2	13162.3	17	156201
Mobile Home	Fuel Oil	SC	2010s	0	0.819977	0	0.180023	0	0	0	17	113158
Mobile Home	Natural Gas	SC	2010s	0	0.979656	0	0.0203439	0	0	0	107	540890
Mobile Home	None	SC	2010s	0	0	0	0	1	0	0	16	146966
Mobile Home	Other Fuel	SC	2010s	0	0.0802808	0	0.919719	0	0	0	19	102682
Mobile Home	Propane	SC	2010s	0	0.819977	0	0.180023	0	0	0	17	113158
Mobile Home	Wood	SC	2010s	0	0.0802808	0	0.919719	0	0	0	19	102682
Mobile Home	Electricity	SC	<1940	0.387814	0.31745	0.0607151	0.23402	0	0	0	64	388728
Mobile Home	Fuel Oil	SC	<1940	0	0.719231	0	0.280769	0	0	0	14	65769.1
Mobile Home	Natural Gas	SC	<1940	0	0.7713	0	0.2287	0	0	0	153	583978
Mobile Home	None	SC	<1940	0	0	0	0	1	0	0	11	84119.4
Mobile Home	Other Fuel	SC	<1940	0	0.0620835	0	0.937917	0	0	0	19	74524
Mobile Home	Propane	SC	<1940	0	0.801773	0	0.198227	0	0	0	13	87072.6
Mobile Home	Wood	SC	<1940	0	0.0620835	0	0.937917	0	0	0	19	74524
Multi-Family with 2 - 4 Units	Electricity	SC	1940s	0.513706	0.157146	0	0.329148	0	1	2150.96	11	18007
Multi-Family with 2 - 4 Units	Fuel Oil	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Natural Gas	SC	1940s	0	0.430457	0	0.569543	0	0	0	11	13775.6
Multi-Family with 2 - 4 Units	None	SC	1940s	0	0	0	0	1	0	0	102	1.39304e+06
Multi-Family with 2 - 4 Units	Other Fuel	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Propane	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Wood	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Electricity	SC	1950s	0.231791	0.409974	0	0.358235	0	0	0	16	111695
Multi-Family with 2 - 4 Units	Fuel Oil	SC	1950s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Natural Gas	SC	1950s	0	0.531725	0	0.468275	0	0	0	18	90995.4
Multi-Family with 2 - 4 Units	None	SC	1950s	0	0	0	0	1	0	0	102	1.39304e+06
Multi-Family with 2 - 4 Units	Other Fuel	SC	1950s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Propane	SC	1950s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Wood	SC	1950s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Electricity	SC	1960s	0.409018	0.374079	0.0373497	0.179554	0	0	0	33	264855
Multi-Family with 2 - 4 Units	Fuel Oil	SC	1960s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Natural Gas	SC	1960s	0	0.959768	0	0.0402322	0	0	0	28	177902
Multi-Family with 2 - 4 Units	None	SC	1960s	0	0	0	0	1	0	0	26	412662
Multi-Family with 2 - 4 Units	Other Fuel	SC	1960s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Propane	SC	1960s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Wood	SC	1960s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Electricity	SC	1970s	0.232106	0.47671	0.0630896	0.228094	0	5	31952.3	19	153508
Multi-Family with 2 - 4 Units	Fuel Oil	SC	1970s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Natural Gas	SC	1970s	0	0.759469	0	0.240531	0	0	0	16	101587
Multi-Family with 2 - 4 Units	None	SC	1970s	0	0	0	0	1	0	0	18	295194
Multi-Family with 2 - 4 Units	Other Fuel	SC	1970s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Propane	SC	1970s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Wood	SC	1970s	0	0.294574	0	0.705426	0	0	0	38	278982
Multi-Family with 2 - 4 Units	Electricity	SC	1980s	0.634373	0.265134	0	0.100493	0	1	5950.28	12	102043
Multi-Family with 2 - 4 Units	Fuel Oil	SC	1980s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Natural Gas	SC	1980s	0	0.905739	0	0.0942612	0	1	5833.85	22	191164
Multi-Family with 2 - 4 Units	None	SC	1980s	0	0	0	0	1	1	5833.85	18	260907
Multi-Family with 2 - 4 Units	Other Fuel	SC	1980s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Propane	SC	1980s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Wood	SC	1980s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Electricity	SC	1990s	0.444783	0.37278	0.0510629	0.131374	0	4	22950.4	15	118173
Multi-Family with 2 - 4 Units	Fuel Oil	SC	1990s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Natural Gas	SC	1990s	0	0.866484	0	0.133516	0	0	0	13	103560
Multi-Family with 2 - 4 Units	None	SC	1990s	0	0	0	0	1	0	0	12	190511
Multi-Family with 2 - 4 Units	Other Fuel	SC	1990s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Propane	SC	1990s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Wood	SC	1990s	0	0.411695	0	0.588305	0	0	0	24	144934
Multi-Family with 2 - 4 Units	Electricity	SC	2000s	0.293993	0.507103	0.116409	0.0824952	0	3	13848.6	13	101828
Multi-Family with 2 - 4 Units	Fuel Oil	SC	2000s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Natural Gas	SC	2000s	0	0.989666	0	0.0103344	0	0	0	23	139669
Multi-Family with 2 - 4 Units	None	SC	2000s	0	0	0	0	1	0	0	17	243021
Multi-Family with 2 - 4 Units	Other Fuel	SC	2000s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Propane	SC	2000s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Wood	SC	2000s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Electricity	SC	2010s	0.379277	0.48398	0	0.136743	0	2	10334.4	60	474882
Multi-Family with 2 - 4 Units	Fuel Oil	SC	2010s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Natural Gas	SC	2010s	0	0.892433	0	0.107567	0	0	0	17	129302
Multi-Family with 2 - 4 Units	None	SC	2010s	0	0	0	0	1	0	0	12	111791
Multi-Family with 2 - 4 Units	Other Fuel	SC	2010s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Propane	SC	2010s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Wood	SC	2010s	0	0.468141	0	0.531859	0	0	0	21	103803
Multi-Family with 2 - 4 Units	Electricity	SC	<1940	0.513706	0.157146	0	0.329148	0	1	5558.59	11	46534.3
Multi-Family with 2 - 4 Units	Fuel Oil	SC	<1940	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Natural Gas	SC	<1940	0	0.430457	0	0.569543	0	0	0	11	35599.4
Multi-Family with 2 - 4 Units	None	SC	<1940	0	0	0	0	1	0	0	102	1.39304e+06
Multi-Family with 2 - 4 Units	Other Fuel	SC	<1940	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Propane	SC	<1940	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 2 - 4 Units	Wood	SC	<1940	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Electricity	SC	1940s	0.536867	0.249433	0	0.213701	0	0	0	26	33484.3
Multi-Family with 5+ Units	Fuel Oil	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Natural Gas	SC	1940s	0	0.268676	0	0.731324	0	0	0	17	15908.9
Multi-Family with 5+ Units	None	SC	1940s	0	0	0	0	1	0	0	102	1.39304e+06
Multi-Family with 5+ Units	Other Fuel	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Propane	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Wood	SC	1940s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Electricity	SC	1950s	0.199669	0.260745	0	0.539586	0	1	7838.77	11	71653.9
Multi-Family with 5+ Units	Fuel Oil	SC	1950s	0	0.290043	0	0.709957	0	0	0	75	564178
Multi-Family with 5+ Units	Natural Gas	SC	1950s	0	0.545147	0	0.454853	0	0	0	13	66795.1
