metadata_column	enumeration
in.census_division_recs	Middle Atlantic
in.census_division_recs	Mountain North
in.census_division_recs	Mountain South
in.census_division_recs	New England
in.census_division_recs	Pacific
in.census_division_recs	South Atlantic
in.census_division_recs	West North Central
in.census_division_recs	West South Central
in.census_region	Midwest
in.census_region	Northeast
in.census_region	South
in.census_region	West
in.city	AK, Anchorage
in.city	AL, Auburn
in.city	AL, Birmingham
in.city	AL, Decatur
in.city	AL, Dothan
in.city	AL, Florence
in.city	AL, Gadsden
in.city	AL, Hoover
in.city	AL, Huntsville
in.city	AL, Madison
in.city	AL, Mobile
in.city	AL, Montgomery
in.city	AL, Phenix City
in.city	AL, Tuscaloosa
in.city	AR, Bentonville
in.city	AR, Conway
in.city	AR, Fayetteville
in.city	AR, Fort Smith
in.city	AR, Hot Springs
in.city	AR, Jonesboro
in.city	AR, Little Rock
in.city	AR, North Little Rock
in.city	AR, Pine Bluff
in.city	AR, Rogers
in.city	AR, Springdale
in.city	AZ, Apache Junction
in.city	AZ, Avondale
in.city	AZ, Buckeye
in.city	AZ, Bullhead City
in.city	AZ, Casa Grande
in.city	AZ, Casas Adobes
in.city	AZ, Catalina Foothills
in.city	AZ, Chandler
in.city	AZ, Flagstaff
in.city	AZ, Fortuna Foothills
in.city	AZ, Gilbert
in.city	AZ, Glendale
in.city	AZ, Goodyear
in.city	AZ, Green Valley
in.city	AZ, Lake Havasu City
in.city	AZ, Marana
in.city	AZ, Maricopa
in.city	AZ, Mesa
in.city	AZ, Oro Valley
in.city	AZ, Peoria
in.city	AZ, Phoenix
in.city	AZ, Prescott
in.city	AZ, Prescott Valley
in.city	AZ, San Tan Valley
in.city	AZ, Scottsdale
in.city	AZ, Sierra Vista
in.city	AZ, Sun City
in.city	AZ, Sun City West
in.city	AZ, Surprise
in.city	AZ, Tempe
in.city	AZ, Tucson
in.city	AZ, Yuma
in.city	CA, Alameda
in.city	CA, Alhambra
in.city	CA, Aliso Viejo
in.city	CA, Altadena
in.city	CA, Anaheim
in.city	CA, Antioch
in.city	CA, Apple Valley
in.city	CA, Arcadia
in.city	CA, Arden-Arcade
in.city	CA, Bakersfield
in.city	CA, Baldwin Park
in.city	CA, Bellflower
in.city	CA, Berkeley
in.city	CA, Beverly Hills
in.city	CA, Brea
in.city	CA, Brentwood
in.city	CA, Buena Park
in.city	CA, Burbank
in.city	CA, Camarillo
in.city	CA, Campbell
in.city	CA, Carlsbad
in.city	CA, Carmichael
in.city	CA, Carson
in.city	CA, Castro Valley
in.city	CA, Cathedral City
in.city	CA, Cerritos
in.city	CA, Chico
in.city	CA, Chino
in.city	CA, Chino Hills
in.city	CA, Chula Vista
in.city	CA, Citrus Heights
in.city	CA, Clovis
in.city	CA, Colton
in.city	CA, Compton
in.city	CA, Concord
in.city	CA, Corona
in.city	CA, Costa Mesa
in.city	CA, Covina
in.city	CA, Culver City
in.city	CA, Cupertino
in.city	CA, Cypress
in.city	CA, Daly City
in.city	CA, Dana Point
in.city	CA, Danville
in.city	CA, Davis
in.city	CA, Diamond Bar
in.city	CA, Downey
in.city	CA, Dublin
in.city	CA, East Los Angeles
in.city	CA, El Cajon
in.city	CA, El Dorado Hills
in.city	CA, El Monte
in.city	CA, Elk Grove
in.city	CA, Encinitas
in.city	CA, Escondido
in.city	CA, Fairfield
in.city	CA, Florence-Graham
in.city	CA, Florin
in.city	CA, Folsom
in.city	CA, Fontana
in.city	CA, Fountain Valley
in.city	CA, Fremont
in.city	CA, Fresno
in.city	CA, Fullerton
in.city	CA, Garden Grove
in.city	CA, Gardena
in.city	CA, Gilroy
in.city	CA, Glendale
in.city	CA, Glendora
in.city	CA, Hacienda Heights
in.city	CA, Hanford
in.city	CA, Hawthorne
in.city	CA, Hayward
in.city	CA, Hemet
in.city	CA, Hesperia
in.city	CA, Highland
in.city	CA, Huntington Beach
in.city	CA, Huntington Park
in.city	CA, Indio
in.city	CA, Inglewood
in.city	CA, Irvine
in.city	CA, La Habra
in.city	CA, La Mesa
in.city	CA, La Quinta
in.city	CA, Laguna Niguel
in.city	CA, Lake Elsinore
in.city	CA, Lake Forest
in.city	CA, Lakewood
in.city	CA, Lancaster
in.city	CA, Lincoln
in.city	CA, Livermore
in.city	CA, Lodi
in.city	CA, Long Beach
in.city	CA, Los Angeles
in.city	CA, Lynwood
in.city	CA, Madera
in.city	CA, Manhattan Beach
in.city	CA, Manteca
in.city	CA, Martinez
in.city	CA, Menifee
in.city	CA, Merced
in.city	CA, Milpitas
in.city	CA, Mission Viejo
in.city	CA, Modesto
in.city	CA, Montebello
in.city	CA, Monterey Park
in.city	CA, Moreno Valley
in.city	CA, Mountain View
in.city	CA, Murrieta
in.city	CA, Napa
in.city	CA, National City
in.city	CA, Newport Beach
in.city	CA, North Highlands
in.city	CA, Norwalk
in.city	CA, Novato
in.city	CA, Oakland
in.city	CA, Oceanside
in.city	CA, Ontario
in.city	CA, Orange
in.city	CA, Oxnard
in.city	CA, Palm Desert
in.city	CA, Palm Springs
in.city	CA, Palmdale
in.city	CA, Palo Alto
in.city	CA, Pasadena
in.city	CA, Perris
in.city	CA, Petaluma
in.city	CA, Pico Rivera
in.city	CA, Pittsburg
in.city	CA, Placentia
in.city	CA, Pleasanton
in.city	CA, Pomona
in.city	CA, Porterville
in.city	CA, Poway
in.city	CA, Rancho Cordova
in.city	CA, Rancho Cucamonga
in.city	CA, Rancho Palos Verdes
in.city	CA, Rancho Santa Margarita
in.city	CA, Redding
in.city	CA, Redlands
in.city	CA, Redondo Beach
in.city	CA, Redwood City
in.city	CA, Rialto
in.city	CA, Richmond
in.city	CA, Riverside
in.city	CA, Rocklin
in.city	CA, Rohnert Park
in.city	CA, Rosemead
in.city	CA, Roseville
in.city	CA, Rowland Heights
in.city	CA, Sacramento
in.city	CA, Salinas
in.city	CA, San Bernardino
in.city	CA, San Bruno
in.city	CA, San Buenaventura Ventura
in.city	CA, San Clemente
in.city	CA, San Diego
in.city	CA, San Francisco
in.city	CA, San Jose
in.city	CA, San Leandro
in.city	CA, San Luis Obispo
in.city	CA, San Marcos
in.city	CA, San Mateo
in.city	CA, San Rafael
in.city	CA, San Ramon
in.city	CA, Santa Ana
in.city	CA, Santa Barbara
in.city	CA, Santa Clara
in.city	CA, Santa Clarita
in.city	CA, Santa Cruz
in.city	CA, Santa Maria
in.city	CA, Santa Monica
in.city	CA, Santa Rosa
in.city	CA, Santee
in.city	CA, Simi Valley
in.city	CA, South Gate
in.city	CA, South Lake Tahoe
in.city	CA, South San Francisco
in.city	CA, South Whittier
in.city	CA, Stockton
in.city	CA, Sunnyvale
in.city	CA, Temecula
in.city	CA, Thousand Oaks
in.city	CA, Torrance
in.city	CA, Tracy
in.city	CA, Tulare
in.city	CA, Turlock
in.city	CA, Tustin
in.city	CA, Union City
in.city	CA, Upland
in.city	CA, Vacaville
in.city	CA, Vallejo
in.city	CA, Victorville
in.city	CA, Visalia
in.city	CA, Vista
in.city	CA, Walnut Creek
in.city	CA, West Covina
in.city	CA, West Hollywood
in.city	CA, West Sacramento
in.city	CA, Westminster
in.city	CA, Whittier
in.city	CA, Woodland
in.city	CA, Yorba Linda
in.city	CA, Yuba City
in.city	CA, Yucaipa
in.city	CO, Arvada
in.city	CO, Aurora
in.city	CO, Boulder
in.city	CO, Broomfield
in.city	CO, Castle Rock
in.city	CO, Centennial
in.city	CO, Colorado Springs
in.city	CO, Commerce City
in.city	CO, Denver
in.city	CO, Englewood
in.city	CO, Fort Collins
in.city	CO, Grand Junction
in.city	CO, Greeley
in.city	CO, Highlands Ranch
in.city	CO, Lakewood
in.city	CO, Littleton
in.city	CO, Longmont
in.city	CO, Loveland
in.city	CO, Parker
in.city	CO, Pueblo
in.city	CO, Thornton
in.city	CO, Westminster
in.city	CT, Bridgeport
in.city	CT, Bristol
in.city	CT, Danbury
in.city	CT, East Hartford
in.city	CT, Hartford
in.city	CT, Meriden
in.city	CT, Middletown
in.city	CT, Milford City Balance
in.city	CT, New Britain
in.city	CT, New Haven
in.city	CT, Norwalk
in.city	CT, Norwich
in.city	CT, Shelton
in.city	CT, Stamford
in.city	CT, Stratford
in.city	CT, Torrington
in.city	CT, Waterbury
in.city	CT, West Hartford
in.city	CT, West Haven
in.city	DC, Washington
in.city	DE, Dover
in.city	DE, Wilmington
in.city	FL, Alafaya
in.city	FL, Altamonte Springs
in.city	FL, Apopka
in.city	FL, Aventura
in.city	FL, Boca Raton
in.city	FL, Bonita Springs
in.city	FL, Boynton Beach
in.city	FL, Bradenton
in.city	FL, Brandon
in.city	FL, Cape Coral
in.city	FL, Carrollwood
in.city	FL, Clearwater
in.city	FL, Coconut Creek
in.city	FL, Coral Gables
in.city	FL, Coral Springs
in.city	FL, Country Club
in.city	FL, Dania Beach
in.city	FL, Davie
in.city	FL, Daytona Beach
in.city	FL, Deerfield Beach
in.city	FL, Delray Beach
in.city	FL, Deltona
in.city	FL, Doral
in.city	FL, Dunedin
in.city	FL, East Lake
in.city	FL, Estero
in.city	FL, Fort Lauderdale
in.city	FL, Fort Myers
in.city	FL, Fort Pierce
in.city	FL, Fountainebleau
in.city	FL, Four Corners
in.city	FL, Gainesville
in.city	FL, Greenacres
in.city	FL, Hallandale Beach
in.city	FL, Hialeah
in.city	FL, Hollywood
in.city	FL, Homestead
in.city	FL, Jacksonville
in.city	FL, Jupiter
in.city	FL, Kendale Lakes
in.city	FL, Kendall
in.city	FL, Kissimmee
in.city	FL, Lake Worth
in.city	FL, Lakeland
in.city	FL, Largo
in.city	FL, Lauderhill
in.city	FL, Lehigh Acres
in.city	FL, Marco Island
in.city	FL, Margate
in.city	FL, Melbourne
in.city	FL, Merritt Island
in.city	FL, Miami
in.city	FL, Miami Beach
in.city	FL, Miami Gardens
in.city	FL, Miramar
in.city	FL, Naples
in.city	FL, New Smyrna Beach
in.city	FL, North Fort Myers
in.city	FL, North Miami
in.city	FL, North Miami Beach
in.city	FL, North Port
in.city	FL, Oakland Park
in.city	FL, Ocala
in.city	FL, Orlando
in.city	FL, Ormond Beach
in.city	FL, Palm Bay
in.city	FL, Palm Beach Gardens
in.city	FL, Palm Coast
in.city	FL, Palm Harbor
in.city	FL, Panama City
in.city	FL, Panama City Beach
in.city	FL, Pembroke Pines
in.city	FL, Pensacola
in.city	FL, Pine Hills
in.city	FL, Pinellas Park
in.city	FL, Plantation
in.city	FL, Poinciana
in.city	FL, Pompano Beach
in.city	FL, Port Charlotte
in.city	FL, Port Orange
in.city	FL, Port St Lucie
in.city	FL, Riverview
in.city	FL, Riviera Beach
in.city	FL, Sanford
in.city	FL, Sarasota
in.city	FL, Spring Hill
in.city	FL, St Cloud
in.city	FL, St Petersburg
in.city	FL, Sun City Center
in.city	FL, Sunny Isles Beach
in.city	FL, Sunrise
in.city	FL, Tallahassee
in.city	FL, Tamarac
in.city	FL, Tamiami
in.city	FL, Tampa
in.city	FL, The Hammocks
in.city	FL, The Villages
in.city	FL, Titusville
in.city	FL, Town N Country
in.city	FL, University
in.city	FL, Venice
in.city	FL, Wellington
in.city	FL, Wesley Chapel
in.city	FL, West Palm Beach
in.city	FL, Weston
in.city	FL, Winter Haven
in.city	GA, Albany
in.city	GA, Alpharetta
in.city	GA, Athens-Clarke County Unified Government Balance
in.city	GA, Atlanta
in.city	GA, Augusta-Richmond County Consolidated Government Balance
in.city	GA, Columbus
in.city	GA, Dunwoody
in.city	GA, East Point
in.city	GA, Hinesville
in.city	GA, Johns Creek
in.city	GA, Mableton
in.city	GA, Macon
in.city	GA, Marietta
in.city	GA, Newnan
in.city	GA, North Atlanta
in.city	GA, Rome
in.city	GA, Roswell
in.city	GA, Sandy Springs
in.city	GA, Savannah
in.city	GA, Smyrna
in.city	GA, Valdosta
in.city	GA, Warner Robins
in.city	HI, East Honolulu
in.city	HI, Hilo
in.city	HI, Kailua
in.city	HI, Urban Honolulu
in.city	IA, Ames
in.city	IA, Ankeny
in.city	IA, Cedar Falls
in.city	IA, Cedar Rapids
in.city	IA, Council Bluffs
in.city	IA, Davenport
in.city	IA, Des Moines
in.city	IA, Dubuque
in.city	IA, Iowa City
in.city	IA, Marion
in.city	IA, Sioux City
in.city	IA, Urbandale
in.city	IA, Waterloo
in.city	IA, West Des Moines
in.city	ID, Boise City
in.city	ID, Caldwell
in.city	ID, Coeur Dalene
in.city	ID, Idaho Falls
in.city	ID, Meridian
in.city	ID, Nampa
in.city	ID, Pocatello
in.city	ID, Twin Falls
in.city	IL, Arlington Heights
in.city	IL, Aurora
in.city	IL, Belleville
in.city	IL, Berwyn
in.city	IL, Bloomington
in.city	IL, Bolingbrook
in.city	IL, Buffalo Grove
in.city	IL, Calumet City
in.city	IL, Carol Stream
in.city	IL, Champaign
in.city	IL, Chicago
in.city	IL, Cicero
in.city	IL, Crystal Lake
in.city	IL, Decatur
in.city	IL, Dekalb
in.city	IL, Des Plaines
in.city	IL, Downers Grove
in.city	IL, Elgin
in.city	IL, Elmhurst
in.city	IL, Evanston
in.city	IL, Glenview
in.city	IL, Hoffman Estates
in.city	IL, Joliet
in.city	IL, Lombard
in.city	IL, Moline
in.city	IL, Mount Prospect
in.city	IL, Naperville
in.city	IL, Normal
in.city	IL, Oak Lawn
in.city	IL, Oak Park
in.city	IL, Orland Park
in.city	IL, Palatine
in.city	IL, Peoria
in.city	IL, Quincy
in.city	IL, Rock Island
in.city	IL, Rockford
in.city	IL, Schaumburg
in.city	IL, Skokie
in.city	IL, Springfield
in.city	IL, Tinley Park
in.city	IL, Urbana
in.city	IL, Waukegan
in.city	IL, Wheaton
in.city	IL, Wheeling
in.city	IN, Anderson
in.city	IN, Bloomington
in.city	IN, Carmel
in.city	IN, Columbus
in.city	IN, Elkhart
in.city	IN, Evansville
in.city	IN, Fishers
in.city	IN, Fort Wayne
in.city	IN, Gary
in.city	IN, Greenwood
in.city	IN, Hammond
in.city	IN, Indianapolis City Balance
in.city	IN, Jeffersonville
in.city	IN, Kokomo
in.city	IN, Lafayette
in.city	IN, Lawrence
in.city	IN, Mishawaka
in.city	IN, Muncie
in.city	IN, New Albany
in.city	IN, Noblesville
in.city	IN, Portage
in.city	IN, Richmond
in.city	IN, South Bend
in.city	IN, Terre Haute
in.city	In another census Place
in.city	KS, Hutchinson
in.city	KS, Kansas City
in.city	KS, Lawrence
in.city	KS, Lenexa
in.city	KS, Manhattan
in.city	KS, Olathe
in.city	KS, Overland Park
in.city	KS, Salina
in.city	KS, Shawnee
in.city	KS, Topeka
in.city	KS, Wichita
in.city	KY, Bowling Green
in.city	KY, Covington
in.city	KY, Lexington-Fayette
in.city	KY, Louisville Jefferson County Metro Government Balance
in.city	KY, Owensboro
in.city	LA, Alexandria
in.city	LA, Baton Rouge
in.city	LA, Bossier City
in.city	LA, Kenner
in.city	LA, Lafayette
in.city	LA, Lake Charles
in.city	LA, Metairie
in.city	LA, Monroe
in.city	LA, New Orleans
in.city	LA, Shreveport
in.city	MA, Arlington
in.city	MA, Attleboro
in.city	MA, Barnstable Town
in.city	MA, Beverly
in.city	MA, Boston
in.city	MA, Brockton
in.city	MA, Brookline
in.city	MA, Cambridge
in.city	MA, Chicopee
in.city	MA, Everett
in.city	MA, Fall River
in.city	MA, Fitchburg
in.city	MA, Framingham
in.city	MA, Haverhill
in.city	MA, Holyoke
in.city	MA, Lawrence
in.city	MA, Leominster
in.city	MA, Lowell
in.city	MA, Lynn
in.city	MA, Malden
in.city	MA, Marlborough
in.city	MA, Medford
in.city	MA, Methuen Town
in.city	MA, New Bedford
in.city	MA, Newton
in.city	MA, Peabody
in.city	MA, Pittsfield
in.city	MA, Quincy
in.city	MA, Revere
in.city	MA, Salem
in.city	MA, Somerville
in.city	MA, Springfield
in.city	MA, Taunton
in.city	MA, Waltham
in.city	MA, Watertown Town
in.city	MA, Westfield
in.city	MA, Weymouth Town
in.city	MA, Woburn
in.city	MA, Worcester
in.city	MD, Annapolis
in.city	MD, Aspen Hill
in.city	MD, Baltimore
in.city	MD, Bel Air South
in.city	MD, Bethesda
in.city	MD, Bowie
in.city	MD, Catonsville
in.city	MD, Columbia
in.city	MD, Dundalk
in.city	MD, Ellicott City
in.city	MD, Essex
in.city	MD, Frederick
in.city	MD, Gaithersburg
in.city	MD, Germantown
in.city	MD, Glen Burnie
in.city	MD, Hagerstown
in.city	MD, North Bethesda
in.city	MD, Ocean City
in.city	MD, Odenton
in.city	MD, Potomac
in.city	MD, Rockville
in.city	MD, Severn
in.city	MD, Silver Spring
in.city	MD, Towson
in.city	MD, Waldorf
in.city	MD, Wheaton
in.city	MD, Woodlawn
in.city	ME, Bangor
in.city	ME, Lewiston
in.city	ME, Portland
in.city	MI, Ann Arbor
in.city	MI, Battle Creek
in.city	MI, Bay City
in.city	MI, Dearborn
in.city	MI, Dearborn Heights
in.city	MI, Detroit
in.city	MI, Farmington Hills
in.city	MI, Flint
in.city	MI, Grand Rapids
in.city	MI, Jackson
in.city	MI, Kalamazoo
in.city	MI, Kentwood
in.city	MI, Lansing
in.city	MI, Lincoln Park
in.city	MI, Livonia
in.city	MI, Midland
in.city	MI, Muskegon
in.city	MI, Novi
in.city	MI, Pontiac
in.city	MI, Portage
in.city	MI, Rochester Hills
in.city	MI, Roseville
in.city	MI, Royal Oak
in.city	MI, Saginaw
in.city	MI, Southfield
in.city	MI, St Clair Shores
in.city	MI, Sterling Heights
in.city	MI, Taylor
in.city	MI, Troy
in.city	MI, Warren
in.city	MI, Westland
in.city	MI, Wyoming
in.city	MN, Apple Valley
in.city	MN, Blaine
in.city	MN, Bloomington
in.city	MN, Brooklyn Park
in.city	MN, Burnsville
in.city	MN, Coon Rapids
in.city	MN, Duluth
in.city	MN, Eagan
in.city	MN, Eden Prairie
in.city	MN, Edina
in.city	MN, Lakeville
in.city	MN, Mankato
in.city	MN, Maple Grove
in.city	MN, Maplewood
in.city	MN, Minneapolis
in.city	MN, Minnetonka
in.city	MN, Moorhead
in.city	MN, Plymouth
in.city	MN, Richfield
in.city	MN, Rochester
in.city	MN, Roseville
in.city	MN, St Cloud
in.city	MN, St Louis Park
in.city	MN, St Paul
in.city	MN, Woodbury
in.city	MO, Blue Springs
in.city	MO, Cape Girardeau
in.city	MO, Chesterfield
in.city	MO, Columbia
in.city	MO, Florissant
in.city	MO, Independence
in.city	MO, Jefferson City
in.city	MO, Joplin
in.city	MO, Kansas City
in.city	MO, Lees Summit
in.city	MO, Ofallon
in.city	MO, Springfield
in.city	MO, St Charles
in.city	MO, St Joseph
in.city	MO, St Louis
in.city	MO, St Peters
in.city	MO, University City
in.city	MS, Biloxi
in.city	MS, Gulfport
in.city	MS, Hattiesburg
in.city	MS, Jackson
in.city	MS, Meridian
in.city	MS, Southaven
in.city	MS, Tupelo
in.city	MT, Billings
in.city	MT, Bozeman
in.city	MT, Butte-Silver Bow Balance
in.city	MT, Great Falls
in.city	MT, Missoula
in.city	NC, Asheville
in.city	NC, Burlington
in.city	NC, Cary
in.city	NC, Chapel Hill
in.city	NC, Charlotte
in.city	NC, Concord
in.city	NC, Durham
in.city	NC, Fayetteville
in.city	NC, Gastonia
in.city	NC, Goldsboro
in.city	NC, Greensboro
in.city	NC, Greenville
in.city	NC, Hickory
in.city	NC, High Point
in.city	NC, Huntersville
in.city	NC, Jacksonville
in.city	NC, Kannapolis
in.city	NC, Raleigh
in.city	NC, Rocky Mount
in.city	NC, Wilmington
in.city	NC, Wilson
in.city	NC, Winston-Salem
in.city	ND, Bismarck
in.city	ND, Fargo
in.city	ND, Grand Forks
in.city	ND, Minot
in.city	NE, Bellevue
in.city	NE, Grand Island
in.city	NE, Lincoln
in.city	NE, Omaha
in.city	NH, Concord
in.city	NH, Manchester
in.city	NH, Nashua
in.city	NJ, Atlantic City
in.city	NJ, Bayonne
in.city	NJ, Camden
in.city	NJ, Clifton
in.city	NJ, East Orange
in.city	NJ, Elizabeth
in.city	NJ, Fort Lee
in.city	NJ, Hackensack
in.city	NJ, Hoboken
in.city	NJ, Jersey City
in.city	NJ, Linden
in.city	NJ, New Brunswick
in.city	NJ, Newark
in.city	NJ, Ocean City
in.city	NJ, Passaic
in.city	NJ, Paterson
in.city	NJ, Perth Amboy
in.city	NJ, Plainfield
in.city	NJ, Sayreville
in.city	NJ, Toms River
in.city	NJ, Trenton
in.city	NJ, Union City
in.city	NJ, Vineland
in.city	NJ, West New York
in.city	NM, Albuquerque
in.city	NM, Clovis
in.city	NM, Farmington
in.city	NM, Las Cruces
in.city	NM, Rio Rancho
in.city	NM, Roswell
in.city	NM, Santa Fe
in.city	NM, South Valley
in.city	NV, Carson City
in.city	NV, Enterprise
in.city	NV, Henderson
in.city	NV, Las Vegas
in.city	NV, North Las Vegas
in.city	NV, Pahrump
in.city	NV, Paradise
in.city	NV, Reno
in.city	NV, Sparks
in.city	NV, Spring Valley
in.city	NV, Sunrise Manor
in.city	NV, Whitney
in.city	NY, Albany
in.city	NY, Binghamton
in.city	NY, Brighton
in.city	NY, Buffalo
in.city	NY, Cheektowaga
in.city	NY, Coram
in.city	NY, Hempstead
in.city	NY, Irondequoit
in.city	NY, Levittown
in.city	NY, Long Beach
in.city	NY, Mount Vernon
in.city	NY, New Rochelle
in.city	NY, New York
in.city	NY, Niagara Falls
in.city	NY, Rochester
in.city	NY, Rome
in.city	NY, Schenectady
in.city	NY, Syracuse
in.city	NY, Tonawanda
in.city	NY, Troy
in.city	NY, Utica
in.city	NY, West Seneca
in.city	NY, White Plains
in.city	NY, Yonkers
in.city	Not in a census Place
